,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Hmx3,0.956,0.04400000000000004,3.078568062320689,3.2382508e-05,7.369022e-06,0.0,0.25,2.3675535,2.5162635,2.3109796,-6.792591,9.708712,0.22151576,0.016901406,0.10394115184498187,0.009577464788732394,0.13720256,0.008993679,True,WT vs Fezf2_KO,WT,Fezf2_KO
Hmx2,0.9552,0.04479999999999995,3.0597123904721504,2.287095e-05,7.436494e-06,0.0,0.25,2.2431319,2.3565445,2.950177,-8.435565,10.61317,0.12391683,0.012816898,0.06219723700735667,0.006619718309859159,0.08323811,0.007036499,True,WT vs Fezf2_KO,WT,Fezf2_KO
Hoxc11,0.9436,0.056400000000000006,2.817233022322269,2.6844373e-05,6.6929847e-06,0.0,0.25,2.0846832,2.1533575,2.273218,-5.3665447,8.699943,0.27587825,0.016760563,0.11339034746725232,0.008873239436619721,0.16862148,0.009482016,True,WT vs Fezf2_KO,WT,Fezf2_KO
Aire,0.941,0.05900000000000005,2.7694055368151407,0.00029705837,0.00012449673,0.0,0.25,1.7211058,1.6619349,3.0665429,-6.750739,8.351968,5.160318,2.4682822,0.5525985287961755,0.3043661971830998,2.9296064,1.1724625,True,WT vs Fezf2_KO,WT,Fezf2_KO
Myb,0.9308,0.06920000000000004,2.5990434350392984,6.368057e-05,1.9971327e-05,0.0,0.25,1.6965836,1.7472005,1.6187658,-4.501523,7.938838,0.7992185,0.19985981,0.3127205310687352,0.11112676056337867,0.44392574,0.1081472,False,WT vs Fezf2_KO,WT,Fezf2_KO
Mxd1,0.9368,0.06320000000000003,2.6961653635774967,0.00030103183,0.000101283775,0.0,0.25,1.619307,1.7699656,1.9633181,-6.1709127,7.4569645,4.806284,1.6547465,0.7763291669159348,0.4743661971831264,2.9823492,0.98074085,False,WT vs Fezf2_KO,WT,Fezf2_KO
Tfcp2l1,0.929,0.07099999999999995,2.571428731691726,7.517028e-05,3.315246e-05,0.0,0.25,1.5430896,1.5814719,2.0106032,-5.8740644,7.5127563,0.9925003,0.4053535,0.35135458405600184,0.1547887323943628,0.62204385,0.2225801,False,WT vs Fezf2_KO,WT,Fezf2_KO
Cdx1,0.9348,0.06520000000000004,2.662872991055349,0.00014067703,5.5353838e-05,0.0,0.25,1.5372982,1.6792245,2.1069107,-5.3498583,6.9972715,2.6499012,0.9923987,0.6003229471922108,0.272816901408447,1.4799196,0.46529338,False,WT vs Fezf2_KO,WT,Fezf2_KO
Tfap2b,0.9376,0.06240000000000001,2.7097579938564973,0.00011233257,4.5296918e-05,0.0,0.25,1.4958271,1.6061773,2.6606364,-6.9841585,9.846824,2.0830183,0.35591593,0.294898630464702,0.05732394366197216,1.1963856,0.18873015,False,WT vs Fezf2_KO,WT,Fezf2_KO
Etv3,0.9206,0.07940000000000003,2.4505271480479554,0.000121226796,4.1455634e-05,0.0,0.25,1.4401046,1.5133553,1.553156,-3.820838,5.895857,1.9702067,0.6331014,0.6277136534896847,0.33788732394366844,1.1950862,0.37910503,False,WT vs Fezf2_KO,WT,Fezf2_KO
