Ensembl ID,Gene Symbol,Aire_pos_TEC (mean counts),Aire_ko_TEC (mean counts),Fold Change,FDR (BH)
ENSMUSG00000024406,Pou5f1,395.8133833,17.58623279,0.044430617,4.02525e-44
ENSMUSG00000015053,Gata2,175.0251617,9.669433129,0.05524596,4.71483e-22
ENSMUSG00000061911,Myt1l,242.8251097,14.00367274,0.057669789,1.13284e-29
ENSMUSG00000015579,Nkx2-5,11.00500361,1.232833238,0.112024792,0.004871566
ENSMUSG00000015627,Gata5,138.1612863,19.43548265,0.140672421,1.63338e-14
ENSMUSG00000005583,Mef2c,106.4968608,28.56579227,0.268231308,4.17643e-08
ENSMUSG00000017950,Hnf4a,550.399546,157.0046153,0.285255714,4.45045e-14
ENSMUSG00000074637,Sox2,92.56488754,36.9637456,0.399327937,0.000455796
ENSMUSG00000037025,Foxa2,152.0878834,61.11800515,0.401859792,4.15523e-05
ENSMUSG00000038193,Hand2,40.78800622,17.08575584,0.418891665,0.018052144
ENSMUSG00000021944,Gata4,983.7743035,413.6909569,0.420514091,4.10623e-11
ENSMUSG00000018263,Tbx5,547.3865576,272.4812944,0.497785871,8.78165e-06
