Aire-regulated,Fezf2-regulated,both,neither,Failed expression cutoffs
Aqp4,Tnfaip2,Saa1,Ccl6,Mymx
Spink5,Chat,Saa3,Ccdc153,Meg3
Slc12a2,Rgs13,Cnfn,Tspan8,Myl1
Dmkn,Msln,Apoa4,Mcidas,Cfap44
Krtdap,Snap25,Ccl20,Dynlrb2,Muc5b
Dclk1,Ces2e,Flg,Mylpf,Guca2a
Krt10,Rptn,Il1f5,Tnfrsf11b,Prss2
Calm4,Asprv1,Klk1,Ascl1,Ivl
Muc13,Alox5ap,Pigr,Dnah12,Atp6v0d2
Hck,Foxa2,Plcb2,Foxj1,Actc1
Clps,Reg3g,Avil,Sox8,Foxi1
Cftr,,,Spib,Atp6v1b1
Cacna2d1,,,Foxi2,Chgb
Gp2,,,Ccl9,Acta1
Sbsn,,,Stxbp5l,
,,,Hnf4a,
,,,Scg5,
,,,Trpm5,
,,,Ckm,
,,,Ret,
,,,Grhl1,
,,,Myog,
,,,Snai2,
,,,Pou2f3,
,,,Atp6v1g3,
