,0
0,Xkr4
1,Rp1
2,Sox17
3,Oprk1
4,Npbwr1
5,St18
6,Sntg1
7,3110035E14Rik
8,Ppp1r42
9,Cpa6
10,Sulf1
11,Prdm14
12,Xkr9
13,Gm5523
14,Msc
15,Trpa1
16,Kcnb2
17,Gdap1
18,Pi15
19,Tfap2b
20,Pkhd1
21,Il17a
22,6720483E21Rik
23,Gsta3
24,Khdc1a
25,Rims1
26,Mir30c-2
27,Col9a1
28,Bai3
29,Gm20172
30,Khdrbs2
31,Gm5415
32,Gm15455
33,Bend6
34,Cfc1
35,Fam123c
36,Zap70
37,Lyg1
38,Lonrf2
39,Creg2
40,Rfx8
41,Il1r2
42,Il18rap
43,Slc9a2
44,Tmem182
45,2610017I09Rik
46,Pou3f3
47,2900092D14Rik
48,Gpr45
49,1500015O10Rik
50,4832428D23Rik
51,Col3a1
52,Tmeff2
53,Boll
54,9130227L01Rik
55,Satb2
56,Aox3
57,Aox4
58,Als2cr12
59,Gm973
60,Cd28
61,Ctla4
62,Zdbf2
63,Mdh1b
64,Gm13749
65,Akr1cl
66,D630023F18Rik
67,Unc80
68,Myl1
69,Cps1
70,Erbb4
71,Spag16
72,Vwc2l
73,Abca12
74,Gm8883
75,4933417E11Rik
76,Tmem169
77,March4
78,Igfbp2
79,Pinc
80,6030407O03Rik
81,Rufy4
82,Cxcr2
83,Cxcr1
84,Slc11a1
85,Vil1
86,Wnt10a
87,Cdk5r2
88,Fev
89,Cryba2
90,Mir375
91,Ccdc108
92,Ihh
93,A630095N17Rik
94,Ptprn
95,Resp18
96,Des
97,Gm15179
98,Tmem198
99,Inha
100,Pax3
101,Sgpp2
102,Kcne4
103,Scg2
104,Fam124b
105,9430031J16Rik
106,Tm4sf20
107,Slc19a3
108,Ccl20
109,Wdr69
110,Sphkap
111,Dner
112,Slc16a14
113,A530032D15Rik
114,Spata3
115,2810459M11Rik
116,B3gnt7
117,Nppc
118,Alpi
119,Ecel1
120,Prss56
121,Efhd1
122,3110079O15Rik
123,Neu2
124,Scarna6
125,Ugt1a9
126,Ugt1a7c
127,Ugt1a6b
128,Ugt1a5
129,Ugt1a2
130,Ugt1a1
131,Spp2
132,Glrp1
133,Gm19589
134,Gbx2
135,Iqca
136,Mlph
137,Rab17
138,Espnl
139,Klhl30
140,Fam132b
141,1700020N18Rik
142,Twist2
143,Gpr35
144,Aqp12
