,entropy
Xkr4,3.5464659382622354
Rp1,3.429040999767334
Sox17,3.510483384083417
Mrpl15,4.341729194290441
Lypla1,4.318966946483446
Tcea1,4.369986975723105
Rgs20,3.7956086054346434
Atp6v1h,4.270228439090133
Oprk1,2.649282323679713
Npbwr1,2.0231679603760506
Rb1cc1,4.3378595846460275
St18,2.2490202210206642
Pcmtd1,4.337236319519301
Sntg1,3.22993255727984
Rrs1,4.329134560802455
Adhfe1,3.902588349612043
2610203C22Rik,3.822283114583465
3110035E14Rik,3.359328520170698
Mybl1,4.0376590520507705
Vcpip1,4.25682101559417
1700034P13Rik,4.0634523220965715
Sgk3,4.28838671133353
6030422M02Rik,4.204696169805368
Snhg6,4.331062830283929
Snord87,4.029066454848363
Ppp1r42,3.597540657984869
Cops5,4.32966770702013
Cspp1,4.312069410287942
Arfgef1,4.352304751457297
Cpa6,3.133984468259384
Prex2,3.7630127336166153
A830018L16Rik,3.791845625033765
Sulf1,3.6431937966217034
Slco5a1,3.9957792127738663
Prdm14,3.3399694650589766
Ncoa2,4.303839696478855
Tram1,4.359318891890085
Lactb2,4.189022702901637
Xkr9,2.936798791808536
Gm5523,3.663319550390971
Eya1,3.845710591283997
Msc,3.1468143740137497
Trpa1,2.3255041735297217
Kcnb2,3.313366500692914
Terf1,4.258175894917668
Gm106,4.0224475305472565
4930444P10Rik,3.9172247611310715
Rpl7,4.327784496993182
Rdh10,4.158963231218534
Stau2,4.099784345021943
Ube2w,4.344397333135926
Tceb1,4.332093694293201
Tmem70,4.32570109916063
Ly96,4.301120650768714
Jph1,4.00758822951271
Gdap1,2.8245722009186136
Pi15,3.410495422594194
Crispld1,3.7891850534249176
Tfap2b,2.963937998079989
Pkhd1,3.1558087226885725
Il17a,3.1069071757422417
Mcm3,4.179842612963882
6720483E21Rik,3.682454684091269
Paqr8,3.9693069552224594
Efhc1,4.051909190535961
Tram2,4.106950174152793
Tmem14a,4.187109567893439
Gsta3,3.547508153126464
Gm4956,3.8222359913371284
Khdc1a,3.5002548879060025
Kcnq5,4.118090522345082
Rims1,3.1464958621443517
Mir30c-2,3.7062842562295177
Ogfrl1,4.165948822531279
B3gat2,4.0057287530915815
Smap1,4.372788229140358
1110058L19Rik,4.329897131876381
Fam135a,4.097160233735078
Col9a1,2.954655750447621
Col19a1,3.903172746659675
Lmbrd1,4.3148080620202816
Bai3,2.919608093958893
Gm20172,2.2051550140221994
Phf3,4.347030387520635
Ptp4a1,4.255097749432525
Khdrbs2,2.9341103590102486
Gm5415,3.4000901282516924
Prim2,4.146227227991539
1700001G17Rik,4.068380312974394
Rab23,4.208472564853014
Bag2,4.180922320045998
Zfp451,4.252354970116564
Gm15455,3.1983359046633244
Bend6,3.581340236238894
Dst,4.179950618068624
Mir5103,3.8485524326068536
Ccdc115,4.2803953654785385
