,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Reg3b,0.9878,0.012199999999999989,4.394043486819026,9.57389e-05,2.0873554e-06,0.0,0.25,5.2180834,5.1375585,2.9464374,-6.036152,17.76543,2.4047496,0.00034989504,0.09205654661730057,0.0003498950314905528,1.0781724,0.0002436722,True,WT vs KO,WT,KO
Muc5ac,0.9822,0.017800000000000038,4.010595944690734,3.7842314e-05,1.1739653e-06,0.0,0.25,5.119909,5.294464,2.9883497,-5.1521006,14.089504,0.45136347,0.0017494753,0.052844160215415686,0.001224632610216935,0.273535,0.0010660442,True,WT vs KO,WT,KO
Gal,0.9792,0.02080000000000004,3.8517824544940904,4.8197962e-05,1.8138417e-06,0.0,0.25,4.5213413,4.6876087,2.7494445,-4.8774834,12.390567,1.1480948,0.016969908,0.07707842477280377,0.007172848145556329,0.6473162,0.010198738,True,WT vs KO,WT,KO
Tff1,0.9802,0.01980000000000004,3.9020741999265773,8.377875e-05,3.1794134e-06,0.0,0.25,4.393763,4.423133,2.763293,-5.55025,13.728047,2.2736454,0.008922323,0.12436889936048469,0.004898530440867737,1.3465279,0.0063473363,True,WT vs KO,WT,KO
Avp,0.9756,0.024399999999999977,3.688469134456731,4.5489873e-05,1.5979366e-06,0.0,0.25,4.28799,4.39145,3.4844096,-6.632927,15.087253,0.7452011,0.0008747376,0.05048805116122518,0.000874737578726382,0.40766457,0.0002871362,True,WT vs KO,WT,KO
Tff3,0.9784,0.021599999999999953,3.813224816940758,0.0001291886,8.1322805e-06,0.0,0.25,4.270239,4.47239,2.872371,-7.534547,13.857491,1.5636095,0.049685083,0.1608885897004405,0.0068229531140657764,0.91672677,0.031241216,True,WT vs KO,WT,KO
Clps,0.974,0.026000000000000023,3.623314391272682,5.4696684e-05,3.52588e-06,0.0,0.25,4.1162663,4.2393208,3.0906086,-6.5149317,13.385533,0.5378655,0.009447164,0.06344665095927297,0.005773268019594119,0.34105915,0.007924316,True,WT vs KO,WT,KO
Gip,0.9784,0.021599999999999953,3.813224816940758,3.1782976e-05,1.8434515e-06,0.0,0.25,3.980481,4.0451994,2.2951863,-4.9675446,12.072227,0.42628786,0.0054233735,0.07505890272635476,0.0033240027991602505,0.25083673,0.004175295,True,WT vs KO,WT,KO
Saa2,0.9706,0.02939999999999998,3.4969194327933892,8.598445e-05,4.3632845e-06,0.0,0.25,3.9787169,4.224896,2.982915,-6.072942,14.056445,1.2054796,0.011721483,0.1486031639178747,0.00524842547235829,0.6911814,0.008564488,True,WT vs KO,WT,KO
Pla2g1b,0.9748,0.0252,3.65538794066687,3.7328165e-05,1.8111496e-06,0.0,0.25,3.9617653,4.093597,2.51354,-5.031581,11.61503,0.5580604,0.008572428,0.09559071019858634,0.0066480055983205,0.323349,0.00609828,True,WT vs KO,WT,KO
