,M.cell_intestine.ex.vivo,Tuft_intestine.ex.vivo,Goblet_intestine.ex.vivo,Endocrine_intestine.ex.vivo,TA_intestine.ex.vivo,Enterocyte.1_intestine.ex.vivo,Enterocyte.2_intestine.ex.vivo,Stem_intestine.ex.vivo
Mrpl15,0.78216565,0.78013223,0.85506785,0.74000496,1.4614838,0.48797056,0.90537995,1.3292924
Lypla1,0.71044946,0.7919065,0.5410302,0.5203426,0.9891337,0.51251996,0.73564124,0.9239691
Gm37988,0.0020830217,0.0,0.0,0.0,0.0019290991,0.0033453316,0.0,0.0
Tcea1,0.080040984,0.10492508,0.074319735,0.10603371,0.16059442,0.07101273,0.05531519,0.08194743
Rgs20,0.0,0.0,0.0,0.017239865,0.0,0.0,0.0,0.0008647638
Atp6v1h,0.1556562,0.25515762,0.112216786,0.19716682,0.19754432,0.16326463,0.19853608,0.1816889
Rb1cc1,0.07782044,0.19173992,0.089193396,0.127256,0.10072236,0.061894562,0.06724984,0.09742139
4732440D04Rik,0.017890947,0.04413653,0.026346799,0.014111819,0.027935846,0.01068567,0.030922843,0.022722604
St18,0.0,0.17207316,0.0,0.13961168,0.0,0.0,0.0,0.0
Pcmtd1,0.07513675,0.11027731,0.036990467,0.13736363,0.036392305,0.04623159,0.048138462,0.045139883
Gm26901,0.0020204093,0.0,0.0050813286,0.011774234,0.0056916773,0.0018433541,0.0064924266,0.007504244
Rrs1,0.062732115,0.16236605,0.19904552,0.12307449,0.47676334,0.020087963,0.0822142,0.55653805
Adhfe1,0.0017945265,0.016368052,0.0,0.0032942041,0.0,0.0022959178,0.0,0.0039328323
Mybl1,0.0,0.0,0.0,0.0,0.0043112496,0.0,0.0,0.0067870305
Vcpip1,0.049239386,0.06352007,0.033138998,0.08951266,0.07292167,0.038594358,0.03468895,0.05490039
1700034P13Rik,0.015849737,0.0,0.0028347708,0.0,0.0017822111,0.024475843,0.0033257352,0.0012979648
Sgk3,0.0037073786,0.15762214,0.006216078,0.0391234,0.027154965,0.027968818,0.044127606,0.027501421
Mcmdc2,0.0,0.0,0.0,0.0065621473,0.0,0.0,0.0,0.00082368543
Snhg6,0.13245074,0.35486042,0.30706105,0.1947349,0.44277164,0.14532812,0.19858932,0.4249612
Tcf24,0.0,0.0,0.008728949,0.0141099775,0.0016460768,0.03430157,0.017358406,0.011012129
Cops5,0.43751082,0.5759664,0.42550272,0.47818443,0.7200449,0.2550645,0.429264,0.6499766
Cspp1,0.102552585,0.1253148,0.10627235,0.18263038,0.15335327,0.032013122,0.057174128,0.1503408
Arfgef1,0.3403566,0.28904346,0.19532254,0.23254317,0.32652572,0.23915344,0.32538623,0.28071532
Cpa6,0.0,0.0,0.0,0.06848857,0.0,0.0,0.0,0.0
A830018L16Rik,0.0,0.0,0.0050251554,0.0,0.01586631,0.0,0.0,0.0
Slco5a1,0.005945776,0.0,0.0,0.006768754,0.0,0.0,0.0,0.0
Ncoa2,0.06633957,0.068929225,0.044606,0.07733657,0.064755484,0.04099065,0.07847364,0.06549634
Tram1,0.4901854,0.6119166,0.7437664,0.5237191,0.5216938,0.30100822,0.375267,0.5755675
Lactb2,0.24595898,0.14849602,0.13483115,0.120295525,0.28509977,0.16896625,0.1884566,0.15197533
Xkr9,0.056126792,0.06653317,0.0021309964,0.040003255,0.031797327,0.05164669,0.08923712,0.0032475612
Eya1,0.0,0.032188024,0.0,0.0,0.0,0.0,0.0,0.0
Trpa1,0.0,0.0,0.0,0.12206241,0.0,0.008956421,0.0,0.0
Kcnb2,0.09660604,0.0,0.014687756,0.12014704,0.05360793,0.0,0.0,0.0
Terf1,0.0697777,0.047916383,0.073797666,0.16529039,0.2512008,0.008745902,0.052200772,0.22965224
Rpl7,0.532694,0.5535218,0.75649256,0.49411356,0.77459776,0.36735114,0.54051167,0.84130925
Rdh10,0.36017752,0.013622704,0.1407136,0.11103211,0.1312006,0.15795463,0.28656146,0.15624662
Stau2,0.028974796,0.07796963,0.03513851,0.053198185,0.05731791,0.05100235,0.028847676,0.094845876
Ube2w,0.115006775,0.12227642,0.124458835,0.082430586,0.1207392,0.03364248,0.08819758,0.11202005
Tceb1,0.5979748,0.74569887,0.48096487,0.53540456,0.7589762,0.43307412,0.54962635,0.76323396
Tmem70,0.5380947,0.50843424,0.36766464,0.3228117,0.71956253,0.10782253,0.16109054,0.67667234
Ly96,0.049690455,0.03271592,0.008215157,0.005329702,0.016007977,0.0076841614,0.0154374475,0.006569857
Jph1,0.011347639,0.0,0.0,0.0,0.025016703,0.0,0.0029428788,0.007855576
Mcm3,0.010495349,0.034733567,0.12886465,0.06815188,0.3710468,0.0,0.021236077,0.43161193
Paqr8,0.019117147,0.0,0.035536896,0.005559662,0.011925175,0.07873215,0.085206695,0.011296443
Efhc1,0.0,0.0,0.0044534383,0.0,0.0017105909,0.0,0.0061046625,0.0
Tram2,0.0021807966,0.0,0.0,0.0,0.0029845415,0.003399167,0.016023204,0.006269686
Tmem14a,0.0773986,0.07596587,0.08032927,0.023007365,0.08377428,0.02131749,0.06560661,0.0627899
Gsta3,0.09777652,0.058914945,0.42822284,0.09190869,0.32546207,0.5747619,0.27795756,0.49918658
Gm28836,0.022340134,0.0,0.0,0.0,0.0,0.0061820094,0.012687869,0.0
Khdc1a,0.39680758,0.0,0.0,0.0,0.069015436,0.0,0.10312695,0.00088008755
Gm29107,0.0,0.0036752564,0.0,0.0025646372,0.0036041075,0.0024358674,0.0,0.002248936
Ogfrl1,0.0,0.039156426,0.0,0.0101159215,0.0,0.0,0.0,0.0009940902
B3gat2,0.0011394521,0.0,0.0,0.0,0.0,0.0,0.014122925,0.0017628603
Smap1,0.37000054,0.376242,0.20078664,0.21986392,0.37061527,0.33703294,0.41268072,0.3334369
Sdhaf4,0.37194762,0.59358114,0.20113784,0.3704148,0.36964217,0.21287376,0.27792284,0.31058162
Fam135a,0.078303285,0.1405446,0.11206281,0.1724392,0.10537999,0.09987461,0.081336014,0.10764445
Col9a1,0.0,0.0,0.0060816854,0.0,0.0,0.0,0.0,0.0006308749
Lmbrd1,0.29980454,0.23469676,0.23188666,0.19360529,0.29063088,0.1984986,0.2746347,0.2183218
Phf3,0.20570695,0.31010213,0.17273265,0.26740897,0.24651816,0.21365793,0.22317699,0.28243703
Ptp4a1,0.065991335,0.04279264,0.07219314,0.03900046,0.0809732,0.13789651,0.1079878,0.06776321
Prim2,0.011515275,0.023305388,0.025460806,0.006134739,0.07877934,0.0067480924,0.009724677,0.08501972
Rab23,0.00707862,0.030083308,0.015440266,0.017716425,0.013961089,0.0,0.0057215933,0.01809001
Bag2,0.002084512,0.031989485,0.08945736,0.03508789,0.11058804,0.0060392013,0.028946124,0.20251633
Zfp451,0.0063664047,0.08410354,0.034600124,0.108758785,0.062313903,0.00711337,0.013654096,0.07217554
Dst,0.016463868,0.009915732,0.06181371,0.24980585,0.014183968,0.195803,0.060939115,0.015245844
Gm37233,0.019370418,0.0,0.0,0.016323553,0.0053359712,0.0,0.003513629,0.004635081
Ccdc115,0.35079584,0.4872309,0.27511793,0.4265121,0.5667833,0.061138313,0.10967058,0.3917161
Imp4,0.20125253,0.36415634,0.35538915,0.3017286,0.47521126,0.10735296,0.14146394,0.65490294
Ptpn18,0.47777903,1.33592,0.3267042,0.2788567,0.34001666,0.1930885,0.16289333,0.3725487
Arhgef4,0.013934527,0.0,0.0,0.0,0.021384897,0.0,0.0009417245,0.007443424
Gm38336,0.0,0.0,0.0,0.0,0.0032403802,0.0017357597,0.0,0.0016862825
Fam168b,0.36891314,0.16342056,0.23356478,0.19828373,0.26108193,0.3036028,0.23849611,0.31750956
Plekhb2,0.83687603,0.60359335,0.3000155,0.54064244,0.41137958,0.90337586,0.9319639,0.2785231
Hs6st1,0.35866615,0.040962875,0.0809698,0.17690738,0.16247748,0.10358691,0.14006646,0.12210551
Uggt1,0.052404657,0.15088983,0.25189772,0.08628282,0.14057748,0.09016453,0.08759393,0.14068536
Neurl3,0.4689055,0.45292,0.2491371,0.25015804,0.17320849,0.51619,0.26652372,0.24694258
Arid5a,0.014283788,0.0,0.006219226,0.01773389,0.011864689,0.0114590395,0.039029535,0.0058340053
4930403P22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kansl3,0.43737653,0.17372066,0.15259086,0.1320199,0.24609816,0.15527989,0.2254996,0.1882462
Lman2l,0.11529534,0.2111568,0.06377899,0.16028836,0.11444792,0.03041897,0.09235661,0.1034219
Cnnm4,0.08347263,0.040785972,0.087843366,0.052398648,0.11161937,0.08168502,0.17590411,0.08571054
Cnnm3,0.0023802428,0.017788319,0.016186597,0.081907384,0.039517146,0.0039920993,0.0,0.02398326
