,Tuft_intestine,Goblet_intestine,Endocrine_intestine,Stem_intestine,TA.G1_intestine,TA.G2_intestine,Paneth_intestine,Enterocyte.Mature.Proximal_intestine,Enterocyte.Mature.Distal_intestine
Mrpl15,0.72660565,0.6704863,0.6741284,0.7549992,1.0548526,0.9889596,0.7807639,0.76942796,0.84450454
Lypla1,0.4631033,0.4421352,0.3425986,0.40457016,0.39633593,0.39832497,0.314218,0.5630073,0.55168635
Gm37988,0.0,0.0013290355,0.0,0.0,0.0,0.0058538187,0.0,0.0,0.0
Tcea1,0.10033792,0.10028042,0.13270558,0.12771595,0.10815357,0.14436755,0.12616159,0.05280599,0.05752103
Atp6v1h,0.22482134,0.13391529,0.23331656,0.13006577,0.16490285,0.12993209,0.12081972,0.12050228,0.14740431
Rb1cc1,0.14243546,0.098845534,0.14300147,0.11775806,0.12896606,0.13907513,0.10487429,0.11544029,0.1935509
4732440D04Rik,0.036378056,0.02468891,0.025368081,0.03290015,0.020548914,0.012917878,0.062353015,0.011297282,0.047129862
Fam150a,0.0,0.0,0.008354454,0.0,0.0,0.0,0.0,0.0,0.0
St18,0.0781464,0.0,0.16832134,0.0,0.0019258334,0.0009152049,0.0,0.0026949751,0.0
Pcmtd1,0.039569866,0.101804115,0.08759483,0.06493878,0.034675993,0.09333859,0.08187272,0.044249363,0.043757558
Gm26901,0.0,0.009621333,0.021755708,0.03771256,0.013626318,0.040138524,0.028727505,0.0026044738,0.0
Gm30414,0.0,0.0014471286,0.0,0.0012857805,0.0,0.0030270752,0.0,0.0,0.0
Rrs1,0.19589508,0.18836446,0.15831022,0.35712895,0.3576995,0.3764761,0.23433249,0.024454432,0.05290064
Adhfe1,0.0,0.0,0.004164529,0.0,0.0025023753,0.0,0.0055851573,0.0019409694,0.0
Mybl1,0.0,0.0049057687,0.0,0.0016293253,0.010488744,0.010394719,0.0,0.0,0.0
Vcpip1,0.059483673,0.060617577,0.05079413,0.06694086,0.058150772,0.066243015,0.052132037,0.043519042,0.070073664
1700034P13Rik,0.0,0.0008631218,0.0015845958,0.00466243,0.009080147,0.005037042,0.0,0.014060776,0.0028592206
Sgk3,0.0798453,0.031049985,0.014249211,0.026168412,0.02129389,0.020975368,0.030202253,0.042479347,0.02718821
Mcmdc2,0.0049380115,0.0,0.0030311341,0.0012088815,0.0,0.0,0.0,0.004939138,0.0
Snhg6,0.35955662,0.23889165,0.29403642,0.48252755,0.37785238,0.40633303,0.4390683,0.0943067,0.106079094
Tcf24,0.0,0.0,0.004062029,0.0,0.0,0.0,0.0,0.0,0.0036775765
Cops5,0.7632389,0.485245,0.58136535,0.54392105,0.6625873,0.68108135,0.46584967,0.27832204,0.2660917
Cspp1,0.14236088,0.07737554,0.18948442,0.11842364,0.093635745,0.18501312,0.11759681,0.045645505,0.053505376
Arfgef1,0.20428258,0.2576952,0.28044844,0.22182602,0.2570136,0.27408895,0.16139962,0.24069706,0.21813366
Slco5a1,0.0,0.0,0.0036806748,0.0028790156,0.0019391484,0.0,0.0,0.0038114332,0.0
Prdm14,0.0,0.008476877,0.0083467895,0.0015746971,0.0,0.0,0.003223784,0.0013691611,0.0
Ncoa2,0.06823202,0.06672481,0.05314745,0.06945075,0.058893625,0.12261562,0.0877388,0.03519368,0.06243467
Tram1,0.2868956,0.8046645,0.4525111,0.25424471,0.31733587,0.38019153,0.30316508,0.27383006,0.31442797
Lactb2,0.12142942,0.10361654,0.074446544,0.06025775,0.05416526,0.0668447,0.097044416,0.057605978,0.09444268
Xkr9,0.061760206,0.061825242,0.008280036,0.0037299527,0.008057612,0.0013606447,0.009128395,0.13845466,0.15287834
Trpa1,0.0,0.0,0.12926728,0.0,0.0,0.0,0.0,0.0,0.0
Kcnb2,0.0,0.0044937185,0.130873,0.0009905993,0.0,0.0,0.0019171992,0.0017965201,0.0
Terf1,0.07894144,0.08910719,0.14635085,0.13274285,0.25287223,0.3360706,0.06625491,0.04541456,0.059485894
Sbspon,0.0,0.0,0.0,0.006521412,0.0,0.0115005635,0.0,0.0,0.0
Rpl7,1.1837093,0.98240286,1.056824,1.1284021,1.0133398,1.078293,1.2779905,0.315551,0.32094938
Rdh10,0.034526717,0.045731828,0.029751642,0.062674604,0.07395302,0.05381576,0.081321016,0.0877426,0.026648005
Stau2,0.049694486,0.074812874,0.048508983,0.06808894,0.071195744,0.078114495,0.06437313,0.035190817,0.009590472
Ube2w,0.14895707,0.077450536,0.16908461,0.11897881,0.0838109,0.1154969,0.119455814,0.041027714,0.0561742
Tceb1,0.6642227,0.5213433,0.67417556,0.54513294,0.5394923,0.6368977,0.52344984,0.5351791,0.46254894
Tmem70,0.41485026,0.33035585,0.38422105,0.57162595,0.645179,0.69566274,0.45304814,0.19071478,0.14488187
Ly96,0.040871106,0.0083205765,0.008766342,0.009815922,0.0044556437,0.007838289,0.022909043,0.003986031,0.029491503
Jph1,0.0,0.0022191065,0.0,0.0017219662,0.0031295256,0.0,0.0,0.0,0.0
Pkhd1,0.0,0.0016933818,0.0,0.0,0.0,0.0,0.0,0.003640129,0.0
Mcm3,0.119794,0.13085456,0.09599111,0.33410522,0.49826664,0.36008695,0.37624842,0.011748594,0.028103575
Paqr8,0.0037470341,0.0,0.009436609,0.0017708987,0.0065496266,0.0026439705,0.004466952,0.0023275604,0.0029221098
Efhc1,0.0,0.0,0.0,0.00083421497,0.0,0.0,0.0,0.0,0.0
Tram2,0.0,0.004699477,0.0,0.0003336749,0.0013682544,0.0051469,0.014844113,0.023531629,0.03894768
Tmem14a,0.06801711,0.15592062,0.05267218,0.041550294,0.040961213,0.047679964,0.04205081,0.06800362,0.06030859
Gsta3,0.0028004737,0.012517525,0.0,0.008444993,0.015536373,0.015297582,0.027086101,0.08379842,0.02152832
Gm28836,0.0,0.001726896,0.0,0.0,0.0,0.0,0.0,0.0021117849,0.0
Gm26580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm29107,0.0,0.0033170758,0.0,0.0076984437,0.004990434,0.0042745606,0.009855972,0.0077729044,0.0
Ogfrl1,0.03413949,0.004553831,0.019197037,0.005420921,0.0046707876,0.0046166945,0.0,0.0017808717,0.0053703845
B3gat2,0.0,0.0038921428,0.0062978147,0.0037129943,0.00273964,0.0025966,0.008893787,0.0022740522,0.0036985744
Smap1,0.47193572,0.40040326,0.40905797,0.33423924,0.41805977,0.45947105,0.30085543,0.5381621,0.5260694
Sdhaf4,0.4225012,0.21088108,0.40717366,0.3175474,0.3452107,0.36924803,0.23071186,0.22647373,0.15861033
Fam135a,0.13297419,0.09566631,0.14228739,0.10895562,0.09649629,0.09893497,0.11309079,0.053833228,0.09706641
Col9a1,0.0,0.005614913,0.0084990375,0.0062766313,0.0024264292,0.009826302,0.0,0.0,0.0
Col19a1,0.011453766,0.0017637176,0.0,0.0,0.0021169218,0.0,0.0,0.0,0.0
Lmbrd1,0.24742922,0.14868361,0.14529464,0.17956384,0.13911013,0.15333907,0.1392897,0.20449705,0.2342292
Phf3,0.07985342,0.12547813,0.14939302,0.186012,0.15722221,0.17623796,0.10383451,0.068251796,0.07984123
Ptp4a1,0.027582306,0.03676736,0.027660638,0.028783174,0.039366703,0.031080393,0.032594424,0.043696463,0.04620831
Khdrbs2,0.0,0.0,0.0040737223,0.0,0.0,0.0,0.0,0.0,0.0
Prim2,0.049691614,0.049855582,0.029819172,0.059985634,0.14628126,0.16906871,0.06864793,0.014925363,0.007003413
Rab23,0.0204907,0.012090449,0.04409866,0.020517668,0.023832493,0.037968956,0.009009212,0.0015174318,0.003942605
Bag2,0.008482745,0.02079278,0.04232355,0.07258756,0.05719656,0.07144408,0.051741447,0.0006694375,0.0
Zfp451,0.07980079,0.065272994,0.10059897,0.063492216,0.11297987,0.077709325,0.083895005,0.017310364,0.018894132
Dst,0.088896915,0.023472678,0.27900237,0.025390543,0.010855109,0.018272746,0.014803025,0.1541518,0.109883636
Gm37233,0.0056854635,0.0059685144,0.022740077,0.0038639135,0.009325805,0.012291488,0.0034120583,0.0017930395,0.0028592206
Ccdc115,0.48433548,0.21677569,0.30691776,0.2980663,0.3405102,0.32843566,0.18117185,0.04755206,0.021656696
Gm28306,0.011224235,0.00082347676,0.0,0.0,0.0,0.0028560571,0.0,0.0044491263,0.0031513197
Imp4,0.42675856,0.358719,0.4285485,0.46109372,0.5737508,0.5012132,0.3971754,0.10983645,0.11114677
Ptpn18,1.4611417,0.23724183,0.3692779,0.3140822,0.37993503,0.3586016,0.279157,0.13997965,0.060707673
Arhgef4,0.00707644,0.0022435447,0.010849155,0.017038165,0.011818637,0.014606001,0.005275765,0.0013294338,0.0026361833
Gm38336,0.0,0.0069998554,0.0,0.004427036,0.0,0.0038994665,0.0,0.0,0.010225449
Fam168b,0.27377766,0.22410001,0.24331634,0.26716667,0.29208827,0.3446063,0.30422133,0.19353639,0.19009973
Plekhb2,0.37929273,0.43471208,0.3137359,0.22440852,0.22110496,0.21530508,0.21503091,0.6041973,0.63100123
Hs6st1,0.094361134,0.10273137,0.17562836,0.10546541,0.13032797,0.1224743,0.09724355,0.082574725,0.053403605
Gm37335,0.0,0.0,0.0,0.0013946341,0.0021343832,0.0,0.0,0.0,0.0
Uggt1,0.1489349,0.34447464,0.20476338,0.13933854,0.25162056,0.16994081,0.14669041,0.109490514,0.08776364
Neurl3,0.30539408,0.20361996,0.3394338,0.24989156,0.20191894,0.22495405,0.2327579,0.4501575,0.325048
Arid5a,0.010950221,0.012511865,0.020175152,0.008174497,0.0040906486,0.017749224,0.015249873,0.0025713132,0.0
4930403P22Rik,0.0,0.0,0.0,0.0024590078,0.0,0.0,0.0,0.0,0.0
Kansl3,0.17913327,0.13059783,0.120004654,0.21653922,0.24486858,0.25786218,0.21424927,0.14690036,0.18411824
Lman2l,0.22529687,0.041770373,0.12696078,0.11062022,0.113677025,0.11667759,0.11064858,0.028410818,0.055911753
Cnnm4,0.092346594,0.11746264,0.04525913,0.084956,0.1654119,0.14303632,0.12608777,0.16691265,0.24522677
Cnnm3,0.07114463,0.03608197,0.076229036,0.0650342,0.07262967,0.06598873,0.041298103,0.018014194,0.018872716
Ankrd23,0.05447715,0.092183284,0.10964007,0.08623458,0.09850309,0.10438669,0.08185587,0.005835746,0.017911667
Ankrd39,0.0,0.0,0.0,0.00069245434,0.0,0.002221695,0.0,0.0,0.0
Sema4c,0.012308948,0.0046198433,0.041293535,0.01426465,0.0077937758,0.010187684,0.014387524,0.0,0.0
Fam178b,0.0,0.0029968654,0.002782308,0.0054103727,0.0,0.0,0.0,0.0,0.0
Cox5b,2.128992,1.8346859,1.8352607,2.191334,2.4516592,2.3131084,2.228351,2.6083975,2.165283
Actr1b,0.21901609,0.22144526,0.22356139,0.17037034,0.23746412,0.27609694,0.23461314,0.21645494,0.19124639
Zap70,0.028256617,0.0009746185,0.0054512746,0.0014203921,0.0053283013,0.0024509467,0.0,0.0,0.009530372
Tmem131,0.12410612,0.0921057,0.14192994,0.12462357,0.11988796,0.13695124,0.08238017,0.13040927,0.18215246
Vwa3b,0.0,0.0039766314,0.015308906,0.002242653,0.0,0.0,0.0,0.0,0.0
Inpp4a,0.02087971,0.012045102,0.054338824,0.039444104,0.035696544,0.060615253,0.04368256,0.045838848,0.06295959
Coa5,0.12828013,0.16008717,0.17294577,0.18997985,0.22335438,0.15889768,0.16961813,0.3250343,0.20439398
Unc50,0.45993468,0.45934317,0.34054208,0.38543284,0.37374273,0.45969674,0.3147726,0.27710646,0.24136284
Mgat4a,0.19864567,0.18366691,0.18187831,0.20368214,0.32787693,0.24777548,0.26243517,0.5967396,0.6605239
2010300C02Rik,0.12110426,0.16200572,0.18175189,0.14629224,0.20511317,0.20995687,0.14574827,0.044842977,0.100440934
Tsga10,0.021651618,0.0067150043,0.007621665,0.0021220804,0.002174145,0.007859095,0.0030483066,0.0012674473,0.0053648073
Lipt1,0.036102463,0.02895809,0.0105026625,0.06992349,0.051444277,0.06623111,0.027126165,0.005170465,0.0030553115
Mitd1,0.22767566,0.16845411,0.15936346,0.15538721,0.17012195,0.1924657,0.12766485,0.13029186,0.10890022
Mrpl30,1.094477,0.9944424,0.98428446,1.2269644,1.1828164,1.2395915,0.9008818,0.8804135,0.7014021
Txndc9,0.6826439,0.48247886,0.55842304,0.4910788,0.43139723,0.5502713,0.37229335,0.39452147,0.46591476
Eif5b,0.92591316,0.70879734,0.67292625,0.6874365,0.732832,0.73671746,0.5630944,0.31413558,0.37127843
Rev1,0.09724142,0.023895625,0.062440723,0.044940062,0.042849254,0.039271396,0.0658646,0.016663428,0.01728685
Pdcl3,0.5105566,0.40084633,0.43977267,0.44250035,0.48957622,0.5382145,0.3500178,0.62410283,0.6135566
Npas2,0.011710545,0.044627845,0.02375481,0.029987497,0.025805965,0.022686874,0.029694708,0.07367307,0.10071113
Rpl31,1.0163056,0.84587455,0.8471088,1.0440844,0.9469759,0.9405212,0.9715302,0.24810247,0.23972563
Tbc1d8,0.106977314,0.09179532,0.08870859,0.01697427,0.01587041,0.031667646,0.013114623,0.022225998,0.017707791
Cnot11,0.14516665,0.10306974,0.11480554,0.11841449,0.13979353,0.17294109,0.10784283,0.050469004,0.062260203
Rnf149,0.28966954,0.34363055,0.38246503,0.46314812,0.4478251,0.45679903,0.35974807,0.10241441,0.18735687
Map4k4,0.32803923,0.1480743,0.2946088,0.13098286,0.09013329,0.13106607,0.1338305,0.072448805,0.1311998
Il1r2,0.0,0.0,0.0,0.0,0.0,0.0,0.005377639,0.0,0.0
Il1r1,0.0,0.0,0.006980004,0.0,0.0,0.0,0.0,0.0,0.0
Il18r1,0.0,0.0053624227,0.045605917,0.0,0.0,0.0,0.0,0.0,0.0
Il18rap,0.0,0.0,0.0,0.0007072892,0.0,0.0,0.0,0.0,0.0049706097
Slc9a4,0.0,0.0,0.0,0.0,0.0,0.0020881875,0.0,0.0,0.0033445274
Slc9a2,0.06388184,0.023128372,0.12028949,0.043714765,0.074751645,0.04225105,0.046151556,0.23995334,0.2650532
Gm37915,0.0,0.00513212,0.0,0.0019045896,0.0,0.0,0.0,0.0038625353,0.0050752135
Mfsd9,0.025677888,0.02881654,0.08386734,0.020381374,0.02843626,0.039223142,0.004648782,0.066117115,0.07106658
Tmem182,0.0,0.003644753,0.032626797,0.016820291,0.0049767927,0.029150728,0.0072785285,0.0,0.0
Pou3f3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrps9,0.39059442,0.3469401,0.40586472,0.6070393,0.6328664,0.74041337,0.4858729,0.21250287,0.16675512
Tgfbrap1,0.035082158,0.041296348,0.049561463,0.029555108,0.047899038,0.043706406,0.038286917,0.047356397,0.05991789
8430432A02Rik,0.010677475,0.003748134,0.0,0.0038145531,0.0,0.0,0.0,0.0,0.0039171902
AI597479,0.026748678,0.039166708,0.04257804,0.043327987,0.030648453,0.047668807,0.044009637,0.016313002,0.027790893
Fhl2,0.22318412,0.6331919,0.7832807,0.4516488,0.31313953,0.54034805,0.36262026,0.15855137,0.15945666
Nck2,0.018054772,0.022168647,0.015172208,0.022081668,0.018934295,0.026834574,0.018325696,0.02960079,0.032246828
Gm29155,0.0,0.0033502504,0.0,0.00069142,0.0,0.0,0.0,0.0,0.0
Uxs1,0.0681914,0.06578303,0.050913326,0.0997055,0.10531071,0.09006777,0.09362694,0.027727885,0.054367896
Tpp2,0.25426286,0.12552387,0.12955527,0.148816,0.16650347,0.14883704,0.1651843,0.0816666,0.07398769
Gm8251,0.0,0.0020722114,0.0,0.00094034395,0.0027440612,0.0,0.0,0.0,0.0
Tex30,0.16264696,0.2248667,0.29924542,0.1953498,0.3078101,0.34633836,0.1477859,0.04838157,0.042813167
Kdelc1,0.06955747,0.03291343,0.033902816,0.060213566,0.05282231,0.05326292,0.03790044,0.004944309,0.020858703
Bivm,0.047957774,0.01246124,0.044516094,0.029026695,0.0408867,0.030474262,0.046588346,0.008383769,0.021103136
Ercc5,0.046540305,0.036491856,0.047774006,0.04813634,0.07173339,0.05709737,0.061443742,0.018745262,0.028753355
Wdr75,0.08731891,0.05872536,0.06427177,0.069117144,0.089515574,0.07626654,0.09059588,0.0074789715,0.0026696979
Slc40a1,0.029534938,0.017422652,0.02548646,0.0012653142,0.01134362,0.010573059,0.02613325,0.03979463,0.040230177
Dnah7b,0.0,0.0022007148,0.0,0.0018918723,0.0,0.0,0.0,0.0,0.00399817
