,BEC
0610007N19Rik,0.5101668238639832
0610007P14Rik,0.24233800172805786
0610009B14Rik,0.005962652154266834
0610009B22Rik,0.18097856640815735
0610009D07Rik,0.588939905166626
0610009L18Rik,0.021202756091952324
0610009O20Rik,0.02911657653748989
0610010F05Rik,0.03216501697897911
0610010K14Rik,0.1928827464580536
0610011F06Rik,0.43827366828918457
0610012G03Rik,0.26983100175857544
0610012H03Rik,0.004944270476698875
0610030E20Rik,0.07500309497117996
0610031J06Rik,0.23384740948677063
0610037L13Rik,0.07206487655639648
0610040B10Rik,0.003853492671623826
0610040J01Rik,0.22474847733974457
1110001A16Rik,0.08207914233207703
1110001J03Rik,0.3140838146209717
1110004E09Rik,0.11946352571249008
1110004F10Rik,0.4774242043495178
1110006O24Rik,0.0022877913434058428
1110007C09Rik,0.21460658311843872
1110008F13Rik,0.0085220942273736
1110008J03Rik,0.028711523860692978
1110008L16Rik,0.0299058984965086
1110008P14Rik,0.11974067986011505
1110012L19Rik,0.07908737659454346
1110017D15Rik,0.0028986772522330284
1110018G07Rik,0.055342674255371094
1110019D14Rik,0.01171756163239479
1110020A21Rik,0.007643791846930981
1110028F11Rik,0.002679821103811264
1110032A03Rik,0.09510870277881622
1110034G24Rik,0.021732060238718987
1110037F02Rik,0.11896038800477982
1110038B12Rik,0.256571501493454
1110038F14Rik,0.09419675171375275
1110046J04Rik,0.011079326272010803
1110051M20Rik,0.06320362538099289
1110054M08Rik,0.04684055596590042
1110057K04Rik,0.09428057074546814
1110058L19Rik,0.100923091173172
1110059E24Rik,0.09382733702659607
1110059G10Rik,0.125843808054924
1110065P20Rik,0.02463591657578945
1190002F15Rik,0.008689654991030693
1190002N15Rik,0.5792491436004639
1190003J15Rik,0.2485165297985077
1190005I06Rik,0.028625527396798134
1190007I07Rik,0.06455626338720322
1200011I18Rik,0.10486428439617157
1200014J11Rik,0.08625472337007523
1300002E11Rik,0.04836142435669899
1300002K09Rik,0.16312280297279358
1500009L16Rik,0.0032274138648062944
1500011B03Rik,0.044017139822244644
1500011K16Rik,0.2456963211297989
1500012F01Rik,0.44192183017730713
1500015A07Rik,0.015125518664717674
1600002H07Rik,0.02091940864920616
1600002K03Rik,0.02681351825594902
1600012H06Rik,0.14000768959522247
