,Tuft_intestine,Goblet_intestine,Endocrine_intestine,Stem_intestine,TA.G1_intestine,TA.G2_intestine,Paneth_intestine,Enterocyte.Mature.Proximal_intestine,Enterocyte.Mature.Distal_intestine,M.cell_intestine.ex.vivo,Tuft_intestine.ex.vivo,Goblet_intestine.ex.vivo,Endocrine_intestine.ex.vivo,TA_intestine.ex.vivo,Enterocyte.1_intestine.ex.vivo,Enterocyte.2_intestine.ex.vivo,Stem_intestine.ex.vivo
Mrpl15,0.72660565,0.6704863,0.6741284,0.7549992,1.0548526,0.9889596,0.7807639,0.76942796,0.84450454,0.78216565,0.78013223,0.85506785,0.74000496,1.4614838,0.48797056,0.90537995,1.3292924
Lypla1,0.4631033,0.4421352,0.3425986,0.40457016,0.39633593,0.39832497,0.314218,0.5630073,0.55168635,0.71044946,0.7919065,0.5410302,0.5203426,0.9891337,0.51251996,0.73564124,0.9239691
Gm37988,0.0,0.0013290355,0.0,0.0,0.0,0.0058538187,0.0,0.0,0.0,0.0020830217,0.0,0.0,0.0,0.0019290991,0.0033453316,0.0,0.0
Tcea1,0.10033792,0.10028042,0.13270558,0.12771595,0.10815357,0.14436755,0.12616159,0.05280599,0.05752103,0.080040984,0.10492508,0.074319735,0.10603371,0.16059442,0.07101273,0.05531519,0.08194743
Atp6v1h,0.22482134,0.13391529,0.23331656,0.13006577,0.16490285,0.12993209,0.12081972,0.12050228,0.14740431,0.1556562,0.25515762,0.112216786,0.19716682,0.19754432,0.16326463,0.19853608,0.1816889
Rb1cc1,0.14243546,0.098845534,0.14300147,0.11775806,0.12896606,0.13907513,0.10487429,0.11544029,0.1935509,0.07782044,0.19173992,0.089193396,0.127256,0.10072236,0.061894562,0.06724984,0.09742139
4732440D04Rik,0.036378056,0.02468891,0.025368081,0.03290015,0.020548914,0.012917878,0.062353015,0.011297282,0.047129862,0.017890947,0.04413653,0.026346799,0.014111819,0.027935846,0.01068567,0.030922843,0.022722604
St18,0.0781464,0.0,0.16832134,0.0,0.0019258334,0.0009152049,0.0,0.0026949751,0.0,0.0,0.17207316,0.0,0.13961168,0.0,0.0,0.0,0.0
Pcmtd1,0.039569866,0.101804115,0.08759483,0.06493878,0.034675993,0.09333859,0.08187272,0.044249363,0.043757558,0.07513675,0.11027731,0.036990467,0.13736363,0.036392305,0.04623159,0.048138462,0.045139883
Gm26901,0.0,0.009621333,0.021755708,0.03771256,0.013626318,0.040138524,0.028727505,0.0026044738,0.0,0.0020204093,0.0,0.0050813286,0.011774234,0.0056916773,0.0018433541,0.0064924266,0.007504244
