,Ductal/Acinar_pancreatic,Acinar/Ductal_pancreatic,Ductal_pancreatic,Endocrine-Ngn3_pancreatic,Endocrine_pancreatic,Podocyte-like_pancreatic,Mesenchymal_pancreatic,Acinar_pancreatic,Proliferating_pancreatic
Xkr4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rp1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sox17,0.006938410457223654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm37323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mrpl15,0.7824524641036987,0.7815837860107422,0.5006478428840637,0.5682477951049805,0.4973177909851074,0.2559472918510437,0.0,0.9746991991996765,0.92545485496521
Lypla1,0.34021323919296265,0.4642939865589142,0.34495964646339417,0.4861029088497162,0.3467113971710205,0.4708254039287567,0.0,0.329321026802063,0.0
Gm37988,0.0,0.0,0.00181254290509969,0.0,0.0,0.0,0.0,0.0022248774766921997,0.0
Tcea1,0.1424347162246704,0.21592381596565247,0.20994779467582703,0.22809924185276031,0.17770960927009583,0.0,0.0,0.25645649433135986,0.31098634004592896
Rgs20,0.0,0.0,0.0021892564836889505,0.0,0.0,0.0,0.0,0.0,0.0
Gm16041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Atp6v1h,0.1874321550130844,0.3044571578502655,0.23943297564983368,0.41554778814315796,0.4157422184944153,0.0,1.0370312929153442,0.2848798632621765,0.0
Oprk1,0.00992811843752861,0.006460837088525295,0.013176089152693748,0.0,0.0,0.0,0.0,0.007820609025657177,0.0
Npbwr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rb1cc1,0.20395398139953613,0.16147904098033905,0.13169020414352417,0.3111516237258911,0.2225339263677597,0.2559472918510437,0.0,0.1262674480676651,0.24148458242416382
4732440D04Rik,0.025633374229073524,0.021327447146177292,0.022186128422617912,0.008150055073201656,0.018761392682790756,0.0,0.0,0.009932230226695538,0.0
Fam150a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001091819372959435,0.0
St18,0.02560119330883026,0.0,0.003227915847674012,0.38720279932022095,0.25007376074790955,0.0,0.0,0.005428891628980637,0.0
Pcmtd1,0.1068892702460289,0.11224959045648575,0.09334436804056168,0.19846808910369873,0.12485065311193466,0.0,1.0370312929153442,0.16118358075618744,0.0
Gm26901,0.011313095688819885,0.00697130523622036,0.01876683533191681,0.0,0.003800111822783947,0.0,0.0,0.006387823261320591,0.0
Gm30414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sntg1,0.0,0.0,0.0,0.0,0.007210316136479378,0.0,0.0,0.0,0.0
Rrs1,0.44223663210868835,0.5015708208084106,0.3682459890842438,0.2547290623188019,0.17991307377815247,0.2559472918510437,0.0,0.8150731325149536,0.5524709224700928
Adhfe1,0.01634139195084572,0.005363115109503269,0.0092953285202384,0.0,0.0,0.0,0.0,0.027598584070801735,0.0
3110035E14Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm29520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mybl1,0.004238292574882507,0.005387050099670887,0.007319993805140257,0.0,0.0014053514460101724,0.0,0.0,0.009592816233634949,0.0
Vcpip1,0.05522540584206581,0.04910814389586449,0.10990823805332184,0.18756882846355438,0.06640898436307907,0.4708254039287567,0.0,0.099565289914608,0.0
1700034P13Rik,0.0,0.0,0.0,0.0,0.0008867462165653706,0.0,0.0,0.004135046619921923,0.0
Sgk3,0.10660578310489655,0.06923670321702957,0.11964244395494461,0.026156414300203323,0.024606002494692802,0.0,0.0,0.08446693420410156,0.31098634004592896
Mcmdc2,0.009513318538665771,0.01754606142640114,0.019914116710424423,0.0,0.0031956532038748264,0.0,0.0,0.005005654413253069,0.0
Snhg6,0.22749438881874084,0.1706380546092987,0.15337349474430084,0.08222651481628418,0.06786970049142838,0.0,0.0,0.15784746408462524,0.0
Tcf24,0.0500640906393528,0.010854843072593212,0.0220746211707592,0.011826328001916409,0.012681139633059502,0.0,0.0,0.003788986010476947,0.0
Ppp1r42,0.0,0.0,0.0,0.0,0.003273985581472516,0.0,0.0,0.0,0.0
Gm15818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cops5,0.8618142008781433,0.9327735900878906,0.6867100596427917,0.9215951561927795,0.9187706112861633,1.0210219621658325,0.0,0.7849772572517395,1.134177327156067
Cspp1,0.1755763739347458,0.1572643667459488,0.2325984239578247,0.2598453164100647,0.39119967818260193,0.4708254039287567,0.0,0.12525080144405365,0.0
Arfgef1,0.12135746330022812,0.11364588886499405,0.17766544222831726,0.13834284245967865,0.1681240051984787,0.0,0.0,0.17587019503116608,0.0
Cpa6,0.0,0.0,0.0,0.0,0.0013068881817162037,0.0,0.0,0.0,0.0
Prex2,0.0,0.0,0.0038893502205610275,0.03010673075914383,0.007516548037528992,0.0,0.0,0.009722395800054073,0.0
A830018L16Rik,0.0,0.007309144828468561,0.0033459265250712633,0.010720144957304,0.0019864316564053297,0.0,0.0,0.0,0.0
Gm17644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gm29663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sulf1,0.04366737976670265,0.020857498049736023,0.01518708374351263,0.06293458491563797,0.03996052220463753,0.726772665977478,0.0,0.02928587980568409,0.0
Slco5a1,0.0,0.005638908129185438,0.0,0.0,0.0016043705400079489,0.0,0.0,0.0,0.0
Gm29283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prdm14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ncoa2,0.05689630284905434,0.07580074667930603,0.06646905094385147,0.10754021257162094,0.10438922047615051,0.2559472918510437,0.0,0.05158113315701485,0.0
Gm29570,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tram1,0.6294646263122559,0.8751916885375977,0.8327102065086365,0.9083524346351624,0.7754998803138733,0.8952376842498779,1.0370312929153442,1.3507416248321533,0.0
Lactb2,0.097515769302845,0.10322711616754532,0.2226557582616806,0.05452309548854828,0.119961217045784,0.0,0.0,0.17589198052883148,0.0
Xkr9,0.0,0.00697130523622036,0.0016155305784195662,0.0,0.0,0.0,0.0,0.0011449027806520462,0.0
Eya1,0.0,0.0,0.0018100552260875702,0.0,0.019188009202480316,0.0,0.0,0.0,0.0
Gm9947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Msc,0.003363842610269785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trpa1,0.0,0.0,0.0,0.0,0.0048391204327344894,0.0,0.0,0.0,0.0
Kcnb2,0.019464580342173576,0.016145920380949974,0.0018690085271373391,0.06865295022726059,0.09181621670722961,0.0,0.0,0.0014237102586776018,0.0
Terf1,0.21204450726509094,0.21823133528232574,0.3096565902233124,0.2468576431274414,0.16960597038269043,0.0,0.0,0.27477771043777466,0.0
Sbspon,0.10527672618627548,0.4266429841518402,0.53114914894104,0.031422555446624756,0.023918742313981056,0.5501965880393982,0.0,0.06565030664205551,0.0
4930444P10Rik,0.0,0.0,0.0,0.0,0.0013347018975764513,0.0,0.0,0.0,0.0
Rpl7,3.1508736610412598,3.2608489990234375,2.943913221359253,2.509990930557251,2.386096477508545,3.358499526977539,2.9553427696228027,3.150282382965088,3.462174654006958
Rdh10,0.05371342971920967,0.07067888230085373,0.061959389597177505,0.019004706293344498,0.02758823148906231,0.4708254039287567,0.0,0.05294344201683998,0.0
Gm28095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stau2,0.23320843279361725,0.20903001725673676,0.21179334819316864,0.13947148621082306,0.18225005269050598,0.2559472918510437,0.0,0.19490401446819305,0.3800467550754547
Gm7568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ube2w,0.20714595913887024,0.276363343000412,0.18773865699768066,0.35718801617622375,0.38338232040405273,0.5501965880393982,0.0,0.1706191897392273,1.1768187284469604
Tceb1,0.8314442038536072,0.7509711980819702,0.7536112666130066,0.8372100591659546,0.8140724897384644,1.1214382648468018,1.0370312929153442,0.7977985739707947,0.9697089195251465
D030040B21Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004041655920445919,0.0
Tmem70,0.447246253490448,0.49982595443725586,0.4656287431716919,0.4199824333190918,0.43201369047164917,0.8952376842498779,0.0,0.581615149974823,0.0
Ly96,0.0,0.007995747961103916,0.0,0.0,0.005640817806124687,0.0,0.0,0.00394855160266161,0.0
Gm28376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jph1,0.0,0.0,0.005184599664062262,0.0,0.0,0.0,0.0,0.008289665915071964,0.0
Gm28783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
