,Club_respiratory,Basal_respiratory,Ciliated_respiratory,Tuft_respiratory,Neuroendocrine_respiratory,Goblet_respiratory,Ionocyte_respiratory
Xkr4,0.0,0.0013717986,0.0,0.009530074,0.0,0.007835134,0.0
Gm37381,0.0,0.0,0.014700342,0.0,0.0,0.0,0.0
Rp1,0.0004714825,0.00040385782,0.07692047,0.0,0.0,0.0,0.0
Mrpl15,0.2381443,0.30010533,0.22043034,0.2796303,0.19491716,0.1954495,0.11542749
Lypla1,0.13302596,0.3132686,0.1530821,0.0969895,0.16490507,0.12841706,0.31929064
Gm37988,0.00038273868,0.0010863193,0.0016533687,0.0081348,0.0,0.0,0.0
Tcea1,0.05672421,0.12043623,0.087464735,0.054158647,0.17506234,0.06336061,0.054051638
Rgs20,0.0015946138,0.00019348621,0.019025065,0.0,0.0,0.031860873,0.0
Atp6v1h,0.16447894,0.18666588,0.26948646,0.25523984,0.19870274,0.14414862,0.4226535
Npbwr1,0.0,0.0,0.0026372455,0.0,0.0,0.0,0.0
Rb1cc1,0.09265999,0.104429185,0.16852358,0.08579586,0.13002501,0.055571176,0.16311434
4732440D04Rik,0.0075852815,0.014104933,0.014185104,0.011342888,0.0044960612,0.005303708,0.0
St18,0.0004879657,0.00056209945,0.0024038854,0.16781002,0.15722881,0.0,0.0
Pcmtd1,0.09872373,0.106189154,0.090147786,0.14123431,0.07788972,0.06792082,0.051952843
Gm26901,0.0030845008,0.0015337274,0.0,0.011298252,0.010226748,0.017331917,0.0
Gm30414,0.0009717503,0.0,0.0,0.0,0.0,0.0,0.0
Rrs1,0.100382425,0.18243618,0.12489977,0.1452237,0.13965173,0.120388635,0.2701102
Adhfe1,0.0018717331,0.0040753614,0.09733713,0.057243727,0.0,0.030043984,0.28303397
Mybl1,0.0,0.0012397898,0.0018512496,0.0,0.01078042,0.0,0.0
Vcpip1,0.044694297,0.039328787,0.04839863,0.025421921,0.037385285,0.02736489,0.0
1700034P13Rik,0.0008037953,0.00094102754,0.0033232416,0.0,0.0,0.0,0.0
Sgk3,0.03793303,0.07629532,0.023265425,0.10576813,0.049459983,0.007835134,0.089791074
Mcmdc2,0.009469711,0.0051045055,0.008187947,0.010100116,0.0,0.0,0.0
Snhg6,0.09835149,0.10574769,0.06359283,0.2369632,0.12505959,0.080278076,0.11676328
Tcf24,0.004928514,0.0014255869,0.008022879,0.0,0.0037907169,0.01918508,0.0
Ppp1r42,0.00094644056,0.0011635993,0.11236749,0.0,0.0,0.0,0.0
Cops5,0.29991657,0.4167879,0.66043854,0.35775605,0.4017628,0.22189207,0.30151233
Cspp1,0.07055644,0.07582573,0.49310637,0.07028836,0.13503914,0.055713933,0.09659923
Arfgef1,0.12875657,0.09105082,0.22624366,0.18333642,0.16417013,0.10265572,0.16182941
Prex2,0.00014918979,0.0,0.0,0.0,0.0,0.0,0.0
A830018L16Rik,0.0,0.00023678823,0.09544878,0.0,0.0,0.0,0.0
Sulf1,0.007813805,0.026782045,0.002106335,0.09553729,0.0,0.0,0.0
Slco5a1,0.0,0.0,0.0,0.016358562,0.0,0.0,0.0
Prdm14,0.0,0.00023942844,0.0,0.0,0.0,0.0,0.0
Ncoa2,0.046359967,0.040602107,0.06122868,0.05749624,0.060335394,0.026102228,0.0
Tram1,0.3587458,0.31304744,0.34099653,0.49093354,0.52367836,0.643034,0.5601664
Lactb2,0.059078924,0.05507625,0.076729745,0.11331113,0.04650187,0.08460143,0.16654286
Xkr9,0.0013706571,0.0,0.0,0.0,0.0,0.0,0.0
Eya1,0.04292849,0.039118502,0.0335867,0.058797378,0.14311238,0.0,0.0
Gm9947,0.00047148226,0.0,0.0,0.0,0.0,0.0,0.0
Msc,0.01091404,0.0,0.0,0.0,0.0,0.0,0.0
Kcnb2,0.00411616,0.0067505063,0.0025340172,0.01999534,0.13723134,0.0,0.0
Terf1,0.13306934,0.23179838,0.11618594,0.09325392,0.101736315,0.11621208,0.1323306
4930444P10Rik,0.0020095012,0.0011905638,0.5577429,0.0,0.0,0.0,0.0
Rpl7,0.4338929,0.774589,0.37078282,0.63370526,0.72591287,0.35676634,0.55357707
Rdh10,0.40956485,0.15789086,0.1805888,0.094188,0.10870606,0.2806874,0.13321447
Gm28095,0.0,0.0002919387,0.0,0.0,0.0,0.0,0.0
