,EPI_skin.coarse,ANA_skin.coarse,FIB_skin.coarse,MEL_skin.coarse
Xkr4,0.0020342273637652397,0.0,0.0036899414844810963,0.0
Gm1992,0.0,0.0,0.0,0.0
Gm37381,0.0,0.0,0.0,0.0
Rp1,0.0,0.0,0.0,0.0
Rp1-1,0.0,0.0,0.0,0.0
Sox17,0.004807762801647186,0.00031591186416335404,0.008566470816731453,0.0
Gm37323,0.0,0.0,0.0,0.0
Mrpl15,0.20120854675769806,0.570380687713623,0.15361125767230988,0.3842982351779938
Lypla1,0.1653580516576767,0.38819873332977295,0.08064586669206619,0.21321910619735718
Gm37988,0.0002445208083372563,0.0004643469292204827,0.005189326126128435,0.0
Tcea1,0.17874538898468018,0.35090500116348267,0.17932356894016266,0.28950440883636475
Rgs20,0.027571389451622963,0.002002418041229248,0.005856361240148544,0.0
Gm16041,0.0,0.0,0.0,0.0
Atp6v1h,0.11128675937652588,0.1609361618757248,0.062260061502456665,0.25779205560684204
Oprk1,0.0,0.0,0.0,0.0
Npbwr1,0.009222731925547123,0.0011171144433319569,0.0,0.0
Rb1cc1,0.1356121003627777,0.1087179183959961,0.05381275340914726,0.10408511757850647
4732440D04Rik,0.005486206617206335,0.013589155860245228,0.0,0.0051169502548873425
Fam150a,0.0,0.0,0.0,0.0
St18,0.0,0.0,0.0,0.0
Pcmtd1,0.1346375197172165,0.09538545459508896,0.08289320021867752,0.16095058619976044
Gm26901,0.006284500006586313,0.010336956940591335,0.0,0.0
Gm30414,0.0,0.0,0.0,0.0
Sntg1,0.0,0.0,0.0,0.0
Rrs1,0.13223907351493835,0.4850842356681824,0.06456749886274338,0.16379287838935852
Adhfe1,0.002194127533584833,0.0037690498866140842,0.004961289465427399,0.10425067692995071
3110035E14Rik,0.0,0.0,0.0,0.0
Gm29520,0.0,0.0,0.0,0.0
Mybl1,0.0033666794188320637,0.0010245079174637794,0.0,0.0
Vcpip1,0.019572529941797256,0.02812507189810276,0.02173217013478279,0.036488696932792664
1700034P13Rik,0.0002986841427627951,0.001101511181332171,0.0,0.005803194362670183
Sgk3,0.08707409352064133,0.15626490116119385,0.024845575913786888,0.27032846212387085
Mcmdc2,0.00028024186030961573,0.0005204358603805304,0.0,0.0
Snhg6,0.10713748633861542,0.2940578758716583,0.09648412466049194,0.20659959316253662
Tcf24,0.0,0.0,0.016580011695623398,0.0
Ppp1r42,0.0,0.0,0.0,0.0
Gm15818,0.0,0.0,0.0,0.0
Cops5,0.32746222615242004,0.8156026601791382,0.16888636350631714,0.5406911969184875
Cspp1,0.036170441657304764,0.08733808994293213,0.02798663266003132,0.02609388902783394
Arfgef1,0.05929619073867798,0.09959125518798828,0.05908641591668129,0.10612700879573822
Cpa6,0.0,0.0009087365469895303,0.008655614219605923,0.0
Prex2,0.00731052178889513,0.0,0.11951402574777603,0.06636059284210205
A830018L16Rik,0.0,0.0,0.0,0.0
Gm17644,0.0,0.0,0.0,0.0
Gm29663,0.0,0.0,0.0,0.0
Sulf1,0.0015380819095298648,0.0003596561145968735,0.04878243803977966,0.009377431124448776
Slco5a1,0.0010850852122530341,0.026540597900748253,0.0,0.0
Gm29283,0.0,0.0,0.0,0.0
Prdm14,0.0,0.0,0.0,0.0
Ncoa2,0.028322404250502586,0.036081552505493164,0.02554774284362793,0.043316151946783066
Gm29570,0.0,0.0,0.0,0.0
Tram1,0.14519333839416504,0.2618733048439026,0.2135845422744751,0.5853899121284485
Lactb2,0.026990115642547607,0.05381625145673752,0.02330978959798813,0.1394680142402649
Xkr9,0.0,0.0,0.0,0.0
Eya1,0.0006189894629642367,0.0367739275097847,0.0053517562337219715,0.2024839222431183
Gm9947,0.0006731334724463522,0.0,0.006209491286426783,0.0
Msc,0.0,0.0,0.011577289551496506,0.0
Trpa1,0.0,0.0,0.0,0.0
Kcnb2,0.0005500257248058915,0.009136059321463108,0.0,0.0
Terf1,0.09176450222730637,0.18310466408729553,0.09632211923599243,0.06955011188983917
Sbspon,0.004364139400422573,0.02241509221494198,0.037375763058662415,0.2021414339542389
4930444P10Rik,0.0,0.0,0.0,0.0
Rpl7,2.735860824584961,3.204458475112915,1.892594337463379,2.2616026401519775
Rdh10,0.007175764534622431,0.03881755471229553,0.02458285540342331,0.02664988860487938
Gm28095,0.0,0.0,0.0,0.0
Stau2,0.051119498908519745,0.0583467110991478,0.023797398433089256,0.17513993382453918
Gm7568,0.0,0.0,0.0,0.0
Ube2w,0.10809218883514404,0.16906499862670898,0.11881490051746368,0.1628219187259674
Tceb1,0.526279091835022,0.7935273051261902,0.34790167212486267,0.7681782245635986
D030040B21Rik,0.0,0.0,0.0,0.0
Tmem70,0.13528677821159363,0.35542556643486023,0.11328857392072678,0.22678086161613464
Ly96,0.009361098520457745,0.005599573720246553,0.012378504499793053,0.028795652091503143
Gm28376,0.0,0.0,0.0,0.0
Jph1,0.00448303809389472,0.0020608403719961643,0.0,0.014251166023314
Gm28783,0.0,0.0,0.0,0.0
Gdap1,0.0,0.0,0.0,0.0
Gm28784,0.0,0.0,0.0,0.0
Pi15,0.026454603299498558,0.032617680728435516,0.1004822701215744,0.0
Gm28154,0.0,0.0,0.0,0.0
Gm16070,0.0007338387076742947,0.0,0.0,0.007395690307021141
Crispld1,0.003154520643875003,0.002472748514264822,0.02880728617310524,0.0
Gm28153,0.0,0.0,0.0,0.0
Crisp4,0.0,0.0,0.0,0.0
Defb18,0.0,0.0,0.0,0.0
Defb41,0.0,0.0,0.0,0.0
