,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
Fabp9,0.969,0.031000000000000028,3.4422770951449433,0.00032585787,7.5921285e-05,0.0,0.25,3.6386082,4.0115385,2.7271104,-7.758155,11.386954,7.2071986,1.3436164,0.3675280605586054,0.11993793638479684,4.2332034,0.75574857,True,Late Aire vs Rest,Late Aire,Rest
Ces2c,0.963,0.03700000000000003,3.2591352392678825,0.00014288355,3.0050227e-05,0.0,0.25,2.8828113,2.945187,2.2697506,-4.3432074,10.496773,2.2059608,0.44840607,0.5197076481336617,0.17323506594258653,1.4438479,0.2542373,True,Late Aire vs Rest,Late Aire,Rest
Il12a,0.962,0.038000000000000034,3.23142803817647,0.00029224565,5.4301017e-05,0.0,0.25,3.0200686,2.9648948,2.093868,-5.229085,9.814446,4.107272,0.7152886,0.5674758548681991,0.2176105508145737,2.597095,0.3850988,True,Late Aire vs Rest,Late Aire,Rest
Nos2,0.9604,0.03959999999999997,3.1885205039737716,0.00047725506,8.736764e-05,0.0,0.25,2.9077702,2.8408747,2.1117153,-4.5689754,8.933958,7.450998,1.2005668,0.790394152962707,0.3011636927850993,4.7769856,0.68106,True,Late Aire vs Rest,Late Aire,Rest
Cyp2a5,0.9604,0.03959999999999997,3.1885205039737716,0.00033679942,0.00029381693,0.0,0.25,1.905561,2.1757593,3.0617416,-9.095528,10.771886,4.2140465,5.847253,0.40067867397547013,0.3238169123351428,2.6740577,3.480124,True,Late Aire vs Rest,Late Aire,Rest
Ly6i,0.9596,0.04039999999999999,3.167686508894722,0.00016645242,3.4900408e-05,0.0,0.25,2.8247554,2.8398585,2.1383042,-5.3733873,10.011581,2.407208,0.57013285,0.38788827982250657,0.16889061287819618,1.5275319,0.32773837,True,Late Aire vs Rest,Late Aire,Rest
Acsm2,0.9594,0.04059999999999997,3.16253978657807,3.1142306e-05,5.2732753e-06,0.0,0.25,3.1296158,2.8604956,2.621001,-5.52417,14.767849,0.31558338,0.048487127,0.06369094231271183,0.020093095422808356,0.19503151,0.02508799,True,Late Aire vs Rest,Late Aire,Rest
Smtnl1,0.9592,0.04079999999999995,3.157417287630535,0.00034405102,5.6169003e-05,0.0,0.25,3.2472394,3.1369743,2.2733452,-3.4185352,10.245875,4.952999,0.63530016,0.5760897937875419,0.15213343677269053,3.1719096,0.34522083,True,Late Aire vs Rest,Late Aire,Rest
Resp18,0.9582,0.04179999999999995,3.132159956120126,0.00049100677,0.00011403834,0.0,0.25,2.7229154,2.7335773,2.3665595,-8.086174,10.625348,8.749865,1.7975471,0.5896632732968093,0.26718386346003403,5.681382,1.102462,True,Late Aire vs Rest,Late Aire,Rest
Apoc2,0.9578,0.042200000000000015,3.122218540340339,6.482861e-05,2.705543e-05,0.0,0.25,1.5667738,1.2907009,6.329399,-15.396946,20.303444,1.9921706,0.6298692,0.08013573479509269,0.03351435221101617,1.1619709,0.32098576,True,Late Aire vs Rest,Late Aire,Rest
