,0
0,Mrpl15
1,Lypla1
2,Tcea1
3,Rgs20
4,Atp6v1h
5,Rb1cc1
6,Pcmtd1
7,Rrs1
8,Adhfe1
9,2610203C22Rik
10,Mybl1
11,Vcpip1
12,1700034P13Rik
13,Sgk3
14,6030422M02Rik
15,Snhg6
16,Snord87
17,Cops5
18,Cspp1
19,Arfgef1
20,Prex2
21,A830018L16Rik
22,Slco5a1
23,Ncoa2
24,Tram1
25,Lactb2
26,Eya1
27,Terf1
28,Gm106
29,4930444P10Rik
30,Rpl7
31,Rdh10
32,Stau2
33,Ube2w
34,Tceb1
35,Tmem70
36,Ly96
37,Jph1
38,Crispld1
39,Mcm3
40,Paqr8
41,Efhc1
42,Tram2
43,Tmem14a
44,Gm4956
45,Kcnq5
46,Ogfrl1
47,B3gat2
48,Smap1
49,1110058L19Rik
50,Fam135a
51,Col19a1
52,Lmbrd1
53,Phf3
54,Ptp4a1
55,Prim2
56,1700001G17Rik
57,Rab23
58,Bag2
59,Zfp451
60,Dst
61,Mir5103
62,Ccdc115
63,Imp4
64,Ptpn18
65,Arhgef4
66,Fam168b
67,Plekhb2
68,Hs6st1
69,Uggt1
70,Neurl3
71,Arid5a
72,4632411B12Rik
73,Lman2l
74,Cnnm4
75,Cnnm3
76,Ankrd23
77,Ankrd39
78,Sema4c
79,Fam178b
80,Cox5b
81,Actr1b
82,Tmem131
83,Inpp4a
84,6330578E17Rik
85,Unc50
86,Mgat4a
87,4930594C11Rik
88,2010300C02Rik
89,Tsga10
90,Lipt1
91,Mitd1
92,Mrpl30
93,Txndc9
94,Eif5b
95,Rev1
96,Aff3
97,Chst10
98,Pdcl3
99,Npas2
100,Rpl31
101,Tbc1d8
102,D1Bwg0212e
103,Snord89
104,Rnf149
105,Map4k4
106,Gm16894
107,Il1r1
108,Il1rl2
109,Il1rl1
110,Il18r1
111,Slc9a4
112,Mfsd9
113,Mrps9
114,Tgfbrap1
115,AI597479
116,Fhl2
117,Nck2
118,Uxs1
119,Tpp2
120,A530098C11Rik
121,1700029F09Rik
122,Kdelc1
123,Bivm
124,Ercc5
125,Gulp1
126,Col5a2
127,Wdr75
128,Slc40a1
129,Dnahc7b
130,Slc39a10
131,9330175M20Rik
132,Sdpr
133,Obfc2a
134,Myo1b
135,Stat4
136,Stat1
137,Gls
138,Nab1
139,Tmem194b
140,Mfsd6
141,Inpp1
142,Hibch
143,1700019D03Rik
144,1700019A02Rik
145,Pms1
146,Ormdl1
147,Osgepl1
148,Asnsd1
149,Dnahc7a
150,Stk17b
151,Hecw2
152,Ccdc150
153,Gtf3c3
154,Pgap1
155,Ankrd44
156,Sf3b1
157,Coq10b
158,Hspd1
159,Hspe1
160,Mob4
161,Rftn2
162,Mars2
163,Plcl1
164,9130024F11Rik
165,4930558J18Rik
166,1700066M21Rik
167,1110034B05Rik
168,9430016H08Rik
169,Spats2l
170,Kctd18
171,Sgol2
172,Aox1
173,Aox3l1
174,Bzw1
175,Clk1
176,Ppil3
177,Nif3l1
178,Orc2
179,Fam126b
180,Ndufb3
181,Gm20257
182,Cflar
183,Casp8
184,Trak2
185,Stradb
186,Als2cr4
187,Mpp4
188,Als2
189,Cdk15
190,Fzd7
191,Sumo1
192,Nop58
193,Snord70
194,Bmpr2
195,Fam117b
196,Ica1l
197,Wdr12
198,Carf
199,Nbeal1
200,Cyp20a1
201,Abi2
202,Raph1
203,Icos
204,Pard3b
205,Nrp2
206,4930487H11Rik
207,Ino80d
208,Gm11602
209,Ndufs1
210,Eef1b2
211,Snora41
212,Gpr1
213,Adam23
214,Fastkd2
215,Klf7
216,Creb1
217,Mettl21a
218,2810408I11Rik
219,Ccnyl1
220,Fzd5
221,Plekhm3
222,Idh1
223,Pikfyve
224,Mtap2
225,Rpe
226,1110028C15Rik
227,Acadl
228,Lancl1
229,Ikzf2
230,Bard1
231,Atic
232,Fn1
233,Apol7d
234,Mreg
235,Pecr
236,Xrcc5
237,Smarcal1
238,Rpl37a
239,Igfbp5
240,Tns1
241,Arpc2
242,Gpbar1
243,Aamp
244,Pnkd
245,Tmbim1
246,Gm216
247,Ctdsp1
248,Usp37
249,Rqcd1
250,Plcd4
251,Zfp142
252,Bcs1l
253,Rnf25
254,Stk36
255,Ttll4
256,Cyp27a1
257,Prkag3
258,Wnt6
259,Nhej1
260,Slc23a3
261,1810031K17Rik
262,Fam134a
263,Zfand2b
264,Abcb6
265,Atg9a
266,Ankzf1
267,Glb1l
268,Stk16
269,Tuba4a
270,Dnajb2
271,Dnpep
272,Speg
273,Gmppa
274,Accn4
275,Chpf
276,Obsl1
277,Stk11ip
278,Slc4a3
279,Epha4
280,Farsb
281,Mogat1
282,Acsl3
283,Utp14b
284,Ap1s3
285,Wdfy1
286,Mrpl44
287,Serpine2
288,Cul3
289,Dock10
290,Irs1
291,Rhbdd1
292,Col4a4
293,Col4a3
294,Mff
295,Agfg1
296,Pid1
297,Trip12
298,Fbxo36
299,Gm7609
300,C130026I21Rik
301,Sp110
302,Sp140
303,Sp100
304,A630001G21Rik
305,Cab39
306,Itm2c
307,4933407L21Rik
308,Gpr55
309,Psmd1
310,Htr2b
311,Armc9
312,Ncl
313,Snora75
314,C130036L24Rik
315,Nmur1
316,Ptma
317,Pde6d
318,Cops7b
319,Dis3l2
320,Eif4e2
321,Gigyf2
322,Kcnj13
323,Ngef
324,Inpp5d
325,Atg16l1
326,Sag
327,Dgkd
328,Usp40
329,Ugt1a6a
330,Dnajb3
331,Heatr7b1
332,Hjurp
333,A730008H23Rik
334,Arl4c
335,Sh3bp4
336,Agap1
337,4933400F21Rik
338,Cxcr7
339,Cops8
340,Col6a3
341,Lrrfip1
342,Rbm44
343,Ramp1
344,Ube2f
345,Scly
346,Ilkap
347,Hes6
348,Per2
349,Traf3ip1
350,Asb1
351,Hdac4
352,Ndufa10
353,Myeov2
354,Otos
355,Gpc1
356,Ankmy1
357,Dusp28
358,Rnpepl1
359,9430060I03Rik
360,Capn10
361,Sned1
362,Mterfd2
363,Pask
364,Ppp1r7
365,Hdlbp
366,Sept2
367,Farp2
368,Stk25
369,Bok
370,Thap4
371,Atg4b
372,Dtymk
373,Ing5
374,D2hgdh
375,Fam174a
376,St8sia4
377,D1Ertd622e
378,Ppip5k2
379,Gin1
380,Pam
381,B230216N24Rik
382,Rnf152
383,Pign
384,2310035C23Rik
385,Zcchc2
386,Phlpp1
387,Bcl2
388,Kdsr
389,Vps4b
390,Serpinb8
391,Dsel
392,Tsn
393,Mki67ip
394,Clasp1
395,2900060B14Rik
396,Gli2
397,Inhbb
398,Ralb
399,Tmem185b
400,Epb4.1l5
401,Ptpn4
402,Tmem177
403,Tmem37
404,Dbi
405,3110009E18Rik
406,Steap3
407,Insig2
408,Ccdc93
409,Htr5b
410,Ddx18
411,Actr3
412,Slc35f5
413,Nckap5
414,Mgat5
415,Tmem163
416,2900009J06Rik
417,Ccnt2
418,Ysk4
419,Rab3gap1
420,Zranb3
421,R3hdm1
422,Ubxn4
423,Mcm6
424,Dars
425,Cxcr4
426,Daf2
427,Cd55
428,Zp3r
429,Pfkfb2
430,Yod1
431,AA986860
432,Il10
433,Mapkapk2
434,Dyrk3
435,Eif2d
436,Rassf5
437,Ikbke
438,Srgap2
439,Fam72a
440,5430435G22Rik
441,Pm20d1
442,Slc41a1
443,Rab7l1
444,Nucks1
445,Slc45a3
446,Elk4
447,Mfsd4
448,Cdk18
449,Klhdc8a
450,Nuak2
451,Tmcc2
452,Dstyk
453,Rbbp5
454,Tmem81
455,Mdm4
456,Pik3c2b
457,Ppp1r15b
458,Plekha6
459,Etnk2
460,Sox13
461,Snrpe
462,Zc3h11a
463,Zbed6
464,Atp2b4
465,Prelp
466,Btg2
467,Tmem183a
468,Cyb5r1
469,Adipor1
470,Klhl12
471,Rabif
472,Kdm5b
473,Ppp1r12b
474,Ube2t
475,Arl8a
476,Rnpep
477,Timm17a
478,Lmod1
479,Ipo9
480,Nav1
481,Csrp1
482,Phlda3
483,Tnni1
484,Tmem9
485,Cacna1s
486,Kif21b
487,Camsap2
488,9230116N13Rik
489,Ddx59
490,Zfp281
491,Gm19705
492,Gm16880
493,Nek7
494,Lhx9
495,2310009B15Rik
496,Dennd1b
497,Zbtb41
498,Aspm
499,Cdc73
500,B3galt2
501,Glrx2
502,Trove2
503,Uchl5
504,Rgs2
505,Rgs1
506,Pla2g4a
507,7530420F21Rik
508,Ptgs2
509,BC003331
510,Tpr
511,Prg4
512,Hmcn1
513,Ivns1abp
514,1200016B10Rik
515,1190005F20Rik
516,Rnf2
517,Fam129a
518,Edem3
519,1700025G04Rik
520,Tsen15
521,Glt25d2
522,Rgl1
523,Arpc5
524,Ncf2
525,Smg7
526,Nmnat2
527,Lamc2
528,Lamc1
529,E330020D12Rik
530,1700012A16Rik
531,Dhx9
532,Npl
533,C230024C17
534,Rgs16
535,Rnasel
536,5830403L16Rik
537,Glul
538,Cacna1e
539,Ier5
540,Mr1
541,Stx6
542,Xpr1
543,Acbd6
544,Qsox1
545,Cep350
546,Tor1aip1
547,Tor1aip2
548,Soat1
549,Abl2
550,Tor3a
551,Fam20b
552,Ralgps2
553,Angptl1
554,Rasal2
555,2810025M15Rik
556,BC026585
557,Sec16b
558,Rfwd2
559,Scarna3a
560,4930523C07Rik
561,4930562F07Rik
562,Tnn
563,Mrps14
564,Cacybp
565,Rabgap1l
566,Rc3h1
567,Zbtb37
568,Gas5
569,Snord47
570,Dars2
571,Cenpl
572,Klhl20
573,Prdx6
574,Tnfsf4
575,AI848100
576,4930558K02Rik
577,Pigc
578,Dnm3
579,2810442N19Rik
580,Dnm3os
581,Mettl13
582,Vamp4
583,Prrc2c
584,Fmo1
585,Gorab
586,Kifap3
587,Scyl3
588,BC055324
589,2810422O20Rik
590,Sele
591,Slc19a2
592,4930455F23Rik
593,Blzf1
594,Nme7
595,Atp1b1
596,Xcl1
597,Sft2d2
598,Tiprl
599,Gpr161
600,Dcaf6
601,Brp44
602,Adcy10
603,Mpzl1
604,Rcsd1
605,Creg1
606,Pou2f1
607,Ildr2
608,Tada1
609,Pogk
610,Gm16701
611,Fam78b
612,Uck2
613,Tmco1
614,Aldh9a1
615,Mgst3
616,Rxrg
617,Pbx1
618,Nuf2
619,Hsd17b7
620,3110045C21Rik
621,Ddr2
622,Uap1
623,Uhmk1
624,Sh2d1b1
625,Gm7694
626,Nos1ap
627,Olfml2b
628,Atf6
629,Dusp12
630,1700009P17Rik
631,Sdhc
632,Pcp4l1
633,Tomm40l
634,Fcer1g
635,Ndufs2
636,B4galt3
637,Ppox
638,Usp21
639,Ufc1
640,Dedd
641,Nit1
642,Pfdn2
643,Klhdc9
644,Pvrl4
645,Usf1
646,Tstd1
647,F11r
648,Alyref2
649,Slamf7
650,Vangl2
651,Ncstn
652,Copa
653,Pex19
654,Dcaf8
655,Pea15a
656,Atp1a4
657,Igsf8
658,Pigm
659,Igsf9
660,Tagln2
661,Ccdc19
662,4933439K11Rik
663,Dusp23
664,Darc
665,Cadm3
666,Aim2
667,AI607873
668,Ifi204
669,Mndal
670,Mnda
671,Ifi203
672,Fh1
673,Opn3
674,Chml
675,Exo1
676,Cep170
677,Sdccag8
678,Akt3
679,Zfp238
680,Adss
681,Gm16432
682,Pppde1
683,Fam36a
684,Hnrnpu
685,Efcab2
686,Kif26b
687,Smyd3
688,Tfb2m
689,Cnst
690,Sccpdh
691,Ahctf1
692,Cdc42bpa
693,Adck3
694,Psen2
695,Gm5069
696,Itpkb
697,Parp1
698,Lin9
699,Acbd3
700,H3f3a
701,BC031781
702,Pycr2
703,Lefty1
704,Tmem63a
705,Ephx1
706,Nvl
707,Cnih4
708,Wdr26
709,Lbr
710,Enah
711,Srp9
712,Degs1
713,Fbxo28
714,Trp53bp2
715,Capn2
716,Susd4
717,Disp1
718,Brox
719,Aida
720,Mia3
721,Taf1a
722,1700056E22Rik
723,Dusp10
724,Hlx
725,Mosc2
726,Mark1
727,Rab3gap2
728,Iars2
729,Bpnt1
730,Eprs
731,Lyplal1
732,Tgfb2
733,Rrp15
734,Gpatch2
735,Kctd3
736,Kcnk2
737,Cenpf
738,Ptpn14
739,Smyd2
740,Prox1
741,Rps6kc1
742,Angel2
743,Vash2
744,Mfsd7b
745,A230020J21Rik
746,1700022P22Rik
747,Tatdn3
748,Nsl1
749,Batf3
750,Atf3
751,Nenf
752,Tmem206
753,Ppp2r5a
754,Dtl
755,Ints7
756,Lpgat1
757,Nek2
758,1700034H15Rik
759,Slc30a1
760,Rd3
761,Traf5
762,Rcor3
763,Gm10516
764,Hhat
765,Sertad4
766,Diexf
767,Irf6
768,A130010J15Rik
769,Hsd11b1
770,G0s2
771,Lamb3
772,Camk1g
773,Plxna2
774,Cd34
775,Gm16897
776,A330023F24Rik
777,Cd46
778,Cr1l
779,Cr2
780,Plekhg1
781,Mthfd1l
782,Akap12
783,Zbtb2
784,Rmnd1
785,Gm5512
786,1700052N19Rik
787,Gm221
788,Esr1
789,Syne1
790,Fbxo5
791,Mtrf1l
792,Ipcef1
793,Cnksr3
794,Ulbp1
795,Lrp11
796,Pcmt1
797,A630066F11Rik
798,Nup43
799,BC020402
800,Lats1
801,Katna1
802,BC013529
803,Ppil4
804,Zc3h12d
805,Tab2
806,Ust
807,Sash1
808,Samd5
809,Stxbp5
810,Rab32
811,Shprh
812,Fbxo30
813,Epm2a
814,Utrn
815,B230208H11Rik
816,Stx11
817,Sf3b5
818,Plagl1
819,Ltv1
820,Phactr2
821,Fuca2
822,Pex3
823,Adat2
824,Aig1
825,Hivep2
826,Gpr126
827,Vta1
828,Cited2
829,Heca
830,3110003A17Rik
831,Reps1
832,Ect2l
833,Ccdc28a
834,Nhsl1
835,Hebp2
836,Tnfaip3
837,Ifngr1
838,Il22ra2
839,Pex7
840,Map3k5
841,Mtap7
842,Gm6251
843,Bclaf1
844,Fam54a
845,Pde7b
846,Ahi1
847,Hbs1l
848,4930455C13Rik
849,Sgk1
850,E030030I06Rik
851,Raet1e
852,C920009B18Rik
853,Gm10825
854,Slc2a12
855,Tbpl1
856,Rps12
857,Snora33
858,Snord100
859,1110021L09Rik
860,Vnn1
861,Stx7
862,Ctgf
863,Enpp1
864,Enpp3
865,Med23
866,Arg1
867,Akap7
868,Epb4.1l2
869,Samd3
870,L3mbtl3
871,Arhgap18
872,Ptprk
873,Echdc1
874,Rnf146
875,Rspo3
876,Cenpw
877,Trmt11
878,Gm20300
879,Hint3
880,Ncoa7
881,Hey2
882,Hddc2
883,Tpd52l1
884,Gm3258
885,Rnf217
886,Zufsp
887,A830082N09Rik
888,Rwdd1
889,Fam26f
890,Dse
891,Tspyl1
892,Tspyl4
893,Nt5dc1
894,Frk
895,Hdac2
896,Marcks
897,Lama4
898,1700025K23Rik
899,Tube1
900,Wisp3
901,Fyn
902,Traf3ip2
903,E130307A14Rik
904,Rev3l
905,AA474331
906,G630090E17Rik
907,Slc16a10
908,Rpf2
909,Gtf3c6
910,Amd1
911,Cdk19
912,9030224M15Rik
913,Cdc40
914,Wasf1
915,Fig4
916,Zbtb24
917,Mical1
918,Smpd2
919,Ppil6
920,Cd164
921,Ccdc162
922,Cep57l1
923,Sesn1
924,Armc2
925,Foxo3
926,Lace1
927,Snx3
928,Ostm1
929,Sec63
930,Scml4
931,Sobp
932,Pdss2
933,Bend3
934,1700021F05Rik
935,Cd24a
936,Qrsl1
937,Rtn4ip1
938,Aim1
939,Atg5
940,Mir1929
941,Prdm1
942,Prep
943,Hace1
944,Ascc3
945,Gp49a
946,Lilrb4
947,Dcbld1
948,Gopc
949,Nus1
950,Gm9766
951,Gm19395
952,Mcm9
953,Asf1a
954,Fam184a
955,Man1a
956,Gm16998
957,D630037F22Rik
958,Msl3l2
959,Gja1
960,Hsf2
961,Serinc1
962,Pkib
963,Smpdl3a
964,Gcc2
965,Lims1
966,Ranbp2
967,Ccdc138
968,Sh3rf3
969,Sept10
970,Sowahc
971,P4ha1
972,Ccdc109a
973,Micu1
974,Dnajb12
975,Ddit4
976,Anapc16
977,Ascc1
978,Chst3
979,Psap
980,4632428N05Rik
981,Gm17455
982,Slc29a3
983,Unc5b
984,Sgpl1
985,Adamts14
986,X99384
987,Nodal
988,Eif4ebp2
989,Lrrc20
990,Ppa1
991,Sar1a
992,Tysnd1
993,Aifm2
994,H2afy2
995,2010107G23Rik
996,Tspan15
997,Hk1
998,2210417K05Rik
999,Supv3l1
1000,4930507D05Rik
1001,Vps26a
1002,Srgn
