Aire-regulated,Fezf2-regulated,both,neither,Failed expression cutoffs
Clps,Asprv1,Avil,Mcidas,Hnf4a
Sbsn,Alox5ap,Cnfn,Ccdc153,Mymx
Spink5,Ces2e,Saa1,Cfap44,Meg3
Cacna2d1,Snap25,Klk1,Muc5b,Myl1
Hck,Msln,Apoa4,Spib,Dnah12
Cftr,Reg3g,Plcb2,Foxj1,Atp6v1b1
Dclk1,Foxa2,Pigr,Pou2f3,Guca2a
Slc12a2,Tnfaip2,Flg,Grhl1,Atp6v0d2
Aqp4,Rptn,Ccl20,Ccl9,Ivl
Krt10,Chat,Saa3,Sox8,Foxi1
Dmkn,Rgs13,Il1f5,Ascl1,Chgb
Krtdap,,,Dynlrb2,Prss2
Calm4,,,Tspan8,Atp6v1g3
Gp2,,,Trpm5,
Muc13,,,Ret,
,,,Tnfrsf11b,
,,,Stxbp5l,
,,,Acta1,
,,,Ccl6,
,,,Mylpf,
,,,Scg5,
,,,Foxi2,
,,,Myog,
,,,Ckm,
,,,Snai2,
,,,Actc1,
