feature_name,cell_type_tau,TRA,rank
Tnnt3,0.9993913,True,0
Tnnc2,0.99932724,True,1
Nppa,0.9988128,True,2
Myl1,0.9988045,True,3
Ckm,0.9988039,True,4
Cyp2c50,0.99867433,True,5
Myoz1,0.9986451,True,6
Myh6,0.99860936,True,7
Cyp2c70,0.99851125,True,8
Cyp2c54,0.9983714,True,9
Amh,0.9983546,True,10
Acta1,0.99833876,True,11
Figla,0.99833167,True,12
Cyp2c29,0.99830836,True,13
Mylpf,0.9982901,True,14
Cyp2c37,0.9982892,True,15
Pate4,0.99827015,True,16
Cpn2,0.99826914,True,17
Reg4,0.9982363,True,18
Insl3,0.9982342,True,19
Sln,0.9981843,True,20
Lipf,0.99817896,True,21
Bpifa1,0.9981774,True,22
Mog,0.998165,True,23
Sva,0.99813026,True,24
Svs3b,0.99812907,True,25
Slco1b2,0.99807614,True,26
Svs3a,0.9980636,True,27
Il22,0.99803585,True,28
Spinkl,0.99802905,True,29
Opalin,0.99802244,True,30
Cyp3a11,0.9980162,True,31
Mobp,0.9979659,True,32
Krt84,0.9979207,True,33
Defb4,0.9979029,True,34
Dcpp3,0.9978949,True,35
Cyp1a2,0.9978529,True,36
Nobox,0.9978476,True,37
Myh4,0.9978423,True,38
Wfdc17,0.9978171,True,39
Sec14l5,0.99777615,True,40
Clec4g,0.9977594,True,41
Sval1,0.99775034,True,42
Krt77,0.9977077,True,43
Tnni3,0.99769545,True,44
Sohlh1,0.99768746,True,45
Svs2,0.9976399,True,46
Akr1c6,0.997621,True,47
Saa4,0.99759185,True,48
Cyp2b9,0.99752766,True,49
Myot,0.9975263,True,50
Tat,0.9975228,True,51
Svs1,0.9975104,True,52
Mybpc2,0.99744064,True,53
Tnni2,0.9974312,True,54
Cel,0.9974297,True,55
Pate8,0.9973855,True,56
Hapln2,0.99737275,True,57
Ceacam20,0.99735165,True,58
Cyp2c40,0.9973497,True,59
Serpinb3a,0.9973341,True,60
Cyp2c69,0.9973259,True,61
Svs4,0.9973178,True,62
Cstdc1,0.9973037,True,63
Ugt2b1,0.99728864,True,64
Ces3a,0.9972867,True,65
Sbpl,0.9972804,True,66
Apon,0.9972755,True,67
1810065E05Rik,0.9972459,True,68
Cd207,0.9972436,True,69
Krt1,0.9971359,True,70
Svs5,0.9971282,True,71
Padi6,0.9971247,True,72
Cyp2c67,0.9971217,True,73
Slc27a5,0.99710524,True,74
Ces3b,0.9970857,True,75
Sult2a1,0.9970531,True,76
Serpini2,0.9970263,True,77
Serpina3k,0.99700713,True,78
Nlrp4f,0.9969709,True,79
Myl7,0.99693877,True,80
Ces1c,0.99693024,True,81
Spink11,0.99691457,True,82
Plg,0.9969131,True,83
Serpina6,0.9969067,True,84
Scgb3a2,0.99690473,True,85
Klk5,0.9968994,True,86
Krt13,0.99687403,True,87
Krt35,0.99684095,True,88
Neu4,0.9967961,True,89
Agxt,0.9967618,True,90
Cpa1,0.99674535,True,91
Lhfpl3,0.9967175,True,92
Acan,0.9966978,True,93
Cpb1,0.9966548,True,94
Apoc4,0.9966545,True,95
Cyp3a25,0.9966494,True,96
Serpinb12,0.99661523,True,97
Pnlip,0.99661213,True,98
Olig3,0.99660563,True,99
Cyp2d40,0.9965914,True,100
Abcb11,0.9965715,True,101
Tnnt2,0.99656147,True,102
Atp2a1,0.99655724,True,103
Prss2,0.9965381,True,104
Gm3488,0.99653655,True,105
Krt36,0.9965023,True,106
Sult3a1,0.99649954,True,107
Pate6,0.9964769,True,108
Apoa5,0.9964763,True,109
Etd,0.9964687,True,110
Cyp2d34,0.9964572,True,111
Pvalb,0.99645585,True,112
Hsd17b6,0.9964019,True,113
Ces2a,0.9963812,True,114
Rdh7,0.99636567,True,115
Mybphl,0.9963595,True,116
Defb30,0.99634874,True,117
Try5,0.996348,True,118
Cnfn,0.99634653,True,119
Myl4,0.9963437,True,120
Myh1,0.9963433,True,121
Reg1,0.9963313,True,122
Ivl,0.9963306,True,123
Slc38a11,0.9963149,True,124
Cela2a,0.9963119,True,125
Apoa2,0.9963007,True,126
Col2a1,0.99629986,True,127
St18,0.9962959,True,128
Ucma,0.99627954,True,129
Col10a1,0.99627686,True,130
Adgrl4,0.9962674,True,131
Mug1,0.99626034,True,132
Fga,0.9962583,True,133
Nppb,0.99625087,True,134
Atp13a5,0.996182,True,135
Calm5,0.99617565,True,136
Prss3,0.99615496,True,137
Zg16,0.9961048,True,138
2210010C04Rik,0.99609274,True,139
Hsd3b5,0.9960846,True,140
Zp3,0.99607307,True,141
Rgn,0.9960463,True,142
Krt6b,0.9960453,True,143
Itih1,0.99604356,True,144
Krtap3-3,0.9960046,True,145
Ankub1,0.9959841,True,146
Pla2g1b,0.9959762,True,147
Tgm4,0.9959729,True,148
Cyp7a1,0.99596596,True,149
Mup1,0.99594057,True,150
Try10,0.9959147,True,151
Sult2a7,0.9959134,True,152
Mageb4,0.99589807,True,153
Cyp2c55,0.99589705,True,154
Gpr17,0.99587184,True,155
F9,0.99587125,True,156
Sftpa1,0.9958563,True,157
Mt4,0.9958504,True,158
Actn3,0.995836,True,159
Hrg,0.9958238,True,160
Arhgap45,0.9958124,True,161
Try4,0.99579763,True,162
Cela3b,0.99579036,True,163
Tsga10ip,0.9957726,True,164
Mup21,0.9957671,True,165
F12,0.99576694,True,166
Myod1,0.9957573,True,167
Rpe65,0.99575114,True,168
Cfhr1,0.9957367,True,169
Tdrd1,0.9957312,True,170
Ctrl,0.995692,True,171
Tnr,0.9956878,True,172
G6pc2,0.99567544,True,173
Mup12,0.995674,True,174
Ctrb1,0.9956248,True,175
Oit3,0.9956171,True,176
Cytl1,0.9956111,True,177
Pate7,0.99560076,True,178
Clec4f,0.9955771,True,179
Spink4,0.9955692,True,180
F2,0.9955411,True,181
Cfhr2,0.99549854,True,182
Pnliprp1,0.9954937,True,183
Mug2,0.99547,True,184
Prss34,0.9954464,True,185
2310057J18Rik,0.9954429,True,186
Cpa2,0.9954391,True,187
Aqp8,0.99543023,True,188
Meioc,0.995419,True,189
A1bg,0.9954062,True,190
Mat1a,0.99537313,True,191
Mup2,0.9953631,True,192
Sftpb,0.995358,True,193
Jchain,0.99532926,True,194
Defb19,0.9953258,True,195
Chad,0.9953145,True,196
Sprr1b,0.9953038,True,197
Reg3d,0.99527645,True,198
Gp2,0.9952338,True,199
Vip,0.9952287,True,200
Kng1,0.99513173,True,201
Tex16,0.99513173,True,202
H1f8,0.9950354,True,203
Apoh,0.99503076,True,204
C4bp,0.9950142,True,205
Fabp2,0.9950012,True,206
Trabd2b,0.9949924,True,207
Cyp2a12,0.9949912,True,208
Cela1,0.9949906,True,209
Clps,0.99497914,True,210
Phgr1,0.994978,True,211
Matn1,0.99496704,True,212
Ugt2a3,0.99495965,True,213
Mcpt8,0.9949577,True,214
Guca2a,0.99494356,True,215
Oas1f,0.9949388,True,216
Mbl2,0.99492127,True,217
Baat,0.9949119,True,218
Neurog2,0.9948943,True,219
Hpx,0.99487126,True,220
9530002B09Rik,0.99485797,True,221
Cyp3a44,0.9947747,True,222
Skint10,0.99475807,True,223
Cyp2a22,0.9947553,True,224
Bmp6,0.99475235,True,225
Pip,0.9947242,True,226
Scimp,0.9947209,True,227
Cfhr4,0.9947002,True,228
Mbl1,0.9946986,True,229
Serpinc1,0.99468243,True,230
Rergl,0.99464476,True,231
Mag,0.99463797,True,232
Tm9sf5,0.99452394,True,233
Spaar,0.9945144,True,234
Cyp2d10,0.9944988,True,235
Mybpc3,0.9944962,True,236
Tnnc1,0.99448794,True,237
Pex5l,0.9944818,True,238
AI182371,0.99447846,True,239
Apoa1,0.99446094,True,240
Sprr3,0.99446017,True,241
Ermn,0.99445724,True,242
Sycn,0.9944452,True,243
Spink1,0.99443597,True,244
Leap2,0.9944326,True,245
Ppp1r17,0.99441516,True,246
Stra8,0.99441427,True,247
Ucn3,0.9944126,True,248
Krt10,0.994408,True,249
Mb,0.99436545,True,250
Elovl3,0.99435997,True,251
Sbp,0.9943272,True,252
Smr2l,0.9942489,True,253
Slc34a2,0.9942251,True,254
Obscn,0.9941743,True,255
Sult2a2,0.9941725,True,256
Krt6a,0.99416566,True,257
Slc10a1,0.99415284,True,258
Rnase1,0.9941487,True,259
Cdcp3,0.99414545,True,260
Ugt2b36,0.994104,True,261
Lhx8,0.99409413,True,262
Cst9,0.9940676,True,263
Tex101,0.994067,True,264
Krt4,0.9940603,True,265
Cyp3a59,0.99401087,True,266
Gtsf1,0.9940083,True,267
Elane,0.9940077,True,268
Ankrd23,0.9939977,True,269
Myoz2,0.9939966,True,270
Galnt5,0.9939613,True,271
Gulo,0.9939409,True,272
Skint9,0.99393845,True,273
Atoh1,0.99393606,True,274
Uox,0.9939195,True,275
Dnase2b,0.99388546,True,276
Ins1,0.9938384,True,277
Sftpc,0.9938203,True,278
Scgb3a1,0.9938114,True,279
Spink6,0.9938075,True,280
Apoc3,0.99370986,True,281
Myf5,0.99370295,True,282
Nwd1,0.9936915,True,283
Serpina11,0.99369085,True,284
Cemip,0.9936606,True,285
Dsg1a,0.9936344,True,286
Pbsn,0.9936242,True,287
Tg,0.99362123,True,288
Serpinb3c,0.99361926,True,289
Bpifb1,0.9936122,True,290
Cyp17a1,0.9935736,True,291
Bhlhe23,0.9935638,True,292
Slc13a4,0.9935608,True,293
Crisp1,0.9935336,True,294
Cps1,0.9935011,True,295
Krt20,0.9934496,True,296
Shbg,0.99344766,True,297
Gltpd2,0.99343735,True,298
Phf11b,0.9934151,True,299
Car1,0.99337494,True,300
Gnmt,0.9933745,True,301
Slc7a13,0.99336195,True,302
Slc1a2,0.9933384,True,303
Tff3,0.99333733,True,304
Slc22a7,0.99332696,True,305
Them5,0.99331546,True,306
Hsd3b1,0.99329656,True,307
C9,0.9932763,True,308
Igfbp1,0.9932561,True,309
Reg3g,0.9932387,True,310
Grin2c,0.99323267,True,311
Tmod4,0.9932307,True,312
Nkain2,0.9932255,True,313
Slc26a3,0.99321055,True,314
Smco3,0.9932068,True,315
Gper1,0.9932021,True,316
Fgb,0.99319005,True,317
Shc4,0.99316543,True,318
Inhbc,0.99313706,True,319
Lect2,0.99311703,True,320
Mup20,0.9930993,True,321
Plp1,0.99308276,True,322
Lyg1,0.9930471,True,323
Otor,0.99302673,True,324
Col9a1,0.99300057,True,325
Cyp2j12,0.9929879,True,326
Clec3a,0.9929749,True,327
Serpina1a,0.99294376,True,328
Defb37,0.9929275,True,329
Actc1,0.9929214,True,330
Prss53,0.99286044,True,331
C1rb,0.9928521,True,332
Nxph1,0.992824,True,333
Apof,0.9928201,True,334
Cuzd1,0.9928195,True,335
Lypd4,0.9927825,True,336
Ttpa,0.9927703,True,337
Dbx1,0.9927655,True,338
C8g,0.9927499,True,339
Krt24,0.9927418,True,340
Gm3264,0.99273664,True,341
Mpo,0.9927314,True,342
Prss30,0.99272174,True,343
Wdr17,0.99270475,True,344
Hrc,0.99266505,True,345
H2ac1,0.9926543,True,346
Tff2,0.99263877,True,347
Ugt2b5,0.99261373,True,348
H2bc1,0.99260825,True,349
Glra3,0.9926004,True,350
Ctrc,0.9925974,True,351
Krt32,0.99254113,True,352
Ms4a3,0.9925368,True,353
Cdhr2,0.99252725,True,354
Mzb1,0.99249566,True,355
Msmb,0.99246967,True,356
Cltrn,0.99245745,True,357
Gm15262,0.9924524,True,358
Scgb2b7,0.99243724,True,359
Pramel13,0.9924171,True,360
Ftcd,0.99240804,True,361
Otx2,0.9924011,True,362
Ckmt2,0.99239874,True,363
Casp14,0.99236137,True,364
Helt,0.99233556,True,365
C5ar2,0.9923316,True,366
Serpina1b,0.9923031,True,367
Stab2,0.99228674,True,368
Adprhl1,0.99228144,True,369
Pinlyp,0.99225974,True,370
Chrdl2,0.99225956,True,371
Aqp12,0.9922594,True,372
Bglap3,0.99224263,True,373
Barhl2,0.9922253,True,374
Slco1c1,0.9922171,True,375
Cyp2c65,0.99220264,True,376
Pzp,0.992182,True,377
Magec2,0.9921505,True,378
Fbxw15,0.99214023,True,379
Ccnb3,0.9921249,True,380
2310079G19Rik,0.9921014,True,381
Mael,0.9920932,True,382
Cst11,0.9920845,True,383
Hspb7,0.9920426,True,384
Ninj2,0.9920424,True,385
Fgg,0.99203646,True,386
Apob,0.9920296,True,387
Ctag2l2,0.99202174,True,388
Sst,0.99202055,True,389
Btnl1,0.99201936,True,390
Pakap_ENSMUSG00000090053,0.9920183,True,391
Plpp4,0.99200124,True,392
Ptprh,0.9920006,True,393
Crct1,0.9919837,True,394
Sectm1b,0.9919402,True,395
Psca,0.9919206,True,396
Slc25a47,0.99189514,True,397
Trem1,0.9918918,True,398
Ankrd31,0.9918906,True,399
Bin2,0.9918847,True,400
Doc2g,0.9918723,True,401
Meiob,0.9918695,True,402
Cyp2c38,0.9918604,True,403
1700013H16Rik,0.9918565,True,404
Casq1,0.9918482,True,405
Slc22a19,0.9918464,True,406
Mettl11b,0.9918189,True,407
Crh,0.9918189,True,408
Cpb2,0.9918075,True,409
Tcaf3,0.9918004,True,410
Nat8f3,0.99179786,True,411
Sult2a5,0.9917813,True,412
Slc5a12,0.9917556,True,413
Megf11,0.9917503,True,414
Serpinb11,0.9917465,True,415
Krt16,0.9917317,True,416
Slc22a13,0.9917077,True,417
Slco1a4,0.9916776,True,418
Gc,0.9916448,True,419
Rtl3,0.99163187,True,420
Tmem273,0.9916179,True,421
Nat8f6,0.9916045,True,422
Ms4a5,0.9916004,True,423
Pdcl2,0.9915806,True,424
Alb,0.99156964,True,425
Map3k7cl,0.99156964,True,426
Il24,0.99156374,True,427
4930562C15Rik,0.991561,True,428
Col19a1,0.99155176,True,429
Tex12,0.99154425,True,430
D7Ertd443e,0.99152124,True,431
Slc6a18,0.9915163,True,432
Cldn17,0.9914983,True,433
Etnppl,0.9914226,True,434
Wfdc15a,0.9914029,True,435
Il1b,0.9913903,True,436
Gm94,0.99138576,True,437
Trim54,0.99137753,True,438
Gjc3,0.99137694,True,439
Pln,0.9913531,True,440
Dipk2b,0.9913526,True,441
Prap1,0.9913393,True,442
Ffar1,0.9913285,True,443
C1s2,0.9912897,True,444
Map7,0.9912647,True,445
Hpd,0.99125797,True,446
Defb43,0.99125427,True,447
Proz,0.99124813,True,448
Myom2,0.991243,True,449
Gckr,0.99123734,True,450
Gcg,0.99122924,True,451
Foxh1,0.99121565,True,452
Hsd17b3,0.9911842,True,453
Itih4,0.99117833,True,454
Sprr2g,0.99116415,True,455
Vsir,0.991151,True,456
Ntsr2,0.9911197,True,457
Cxcl15,0.9911173,True,458
Cox8b,0.9911057,True,459
Tdo2,0.99109435,True,460
Ctag2l1,0.9910904,True,461
Ces2c,0.9910686,True,462
Dscam,0.99101543,True,463
Slc39a12,0.9910065,True,464
Sult1b1,0.990986,True,465
Skint4,0.99094623,True,466
Ankrd2,0.9909446,True,467
Nat8f7,0.990942,True,468
Gpc5,0.99093896,True,469
Dmrtc2,0.99093217,True,470
Cacng4,0.99086833,True,471
Cplx1,0.99085045,True,472
Aadat,0.9908307,True,473
Galntl6,0.9908162,True,474
Ifi211,0.99079955,True,475
Hao1,0.99079156,True,476
Slc17a2,0.9907591,True,477
Asgr2,0.9907417,True,478
Rag1,0.9907408,True,479
Abra,0.99073595,True,480
Klk7,0.9907183,True,481
Gm4952,0.99070966,True,482
